dc_summary,ldp_contains,dcterms_isPartOf,fedora_createdBy,dc_language,dcterms_extent,dc_type,dc_description,dcterms_type,fedora_hasParent,dc_format,dc_rights,dc_title,dc_subject,fedora_created,dc_publisher,fedora_lastModifiedBy,fedora_lastModified,dcterms_issued,fedora_writable,files,dc_creator,dc_identifer,dc_contributor
Movie poster of the 2014 movie Snowpiercer,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/99/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/99/orderProxies,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,1 poster with colored illustrations and text; 102 x 67 cm,Posters|film posters,"Held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",StillImage,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",Snowpiercer : fight your way to the front : from visionary director Bong Joon Ho,Snowpiercer (Motion picture)|Science fiction films,2023-06-05T17:04:29.528000+00:00,Weinstein Company,fedoraAdmin,2023-06-05T17:04:29.528000+00:00,2014,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/99/pages/page_0/files/Snowpiercer.jpg,,,
"Colonists from Earth take over a planet that the locals call Athshe, and follow the 19th century model of colonization, which involves cutting down trees, planting farms, building mines, and enslaving indigenous peoples. The Athsheans eventually retaliate against their captors, abandoning their rules against violence and endangering the very foundations of their society.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/70/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/70/pages,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,Ecofiction|Science fiction|book jackets,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Text|StillImage,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",The word for world is forest,Alien-human encounters|Insurgency|Forests and forestry|Space colonies,2023-06-05T16:55:02.634000+00:00,Berkley Pub. Corp.,fedoraAdmin,2023-06-05T16:55:02.634000+00:00,[1972],false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/70/pages/page_0/files/Scifi2021LeGuinThe.jpg,"Le Guin, Ursula K., 1929-2018",456375,
"Four hostages are finally released, but they face a world suddenly inundated as vast amounts of water is released from the earth's mantle. As the world's cities and countries disappear under the rising seas, humanity faces unimaginable global disaster.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/5/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/5/orderProxies,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,book jackets|Apocalyptic fiction|Ecofiction|Science fiction,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Text|StillImage,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",Flood,Floods|Climatic changes|End of the world|Sea levels,2023-06-05T16:32:32.998000+00:00,New American Library,fedoraAdmin,2023-06-05T16:32:32.998000+00:00,[2009],false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/5/pages/page_0/files/Scifi2021BaxterFlood.jpg,"Baxter, Stephen",6273542,
"Marjorie has to find answers about the planet known as Grass. A plague that threatens to destroy all human life is spreading among the stars, on all worlds except Grass. Why is it immune?",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/58/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/58/pages,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,book jackets|Science fiction,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Text|StillImage,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",Grass,Life on other planets|Immunity|Plague,2023-06-05T16:51:14.197000+00:00,Doubleday,fedoraAdmin,2023-06-05T16:51:14.197000+00:00,[1989],false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/58/pages/page_0/files/Scifi2021TepperGrass.jpg,"Tepper, Sheri S.",1236994,
"On a cold spring night in 1952, a huge meteorite fell to earth and obliterated much of the east coast of the United States, including Washington D.C. The ensuing climate cataclysm will soon render the earth inhospitable for humanity, as the last such meteorite did for the dinosaurs. This looming threat calls for a radically accelerated effort to colonize space, and requires a much larger share of humanity to take part in the process. Elma York's experience as a WASP pilot and mathematician earns her a place in the International Aerospace Coalition's attempts to put man on the moon, as a calculator. But with so many skilled and experienced women pilots and scientists involved with the program, it doesn't take long before Elma begins to wonder why they can't go into space, too. Elma's drive to become the first Lady Astronaut is so strong that even the most dearly held conventions of society may not stand a chance against her.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/48/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/48/orderProxies,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,book jackets|Science fiction|Apocalyptic fiction,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",StillImage|Text,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",The calculating stars,Space colonies|Women astronauts,2023-06-05T16:48:03.972000+00:00,Tom Doherty Associates,fedoraAdmin,2023-06-05T16:48:03.972000+00:00,[2018],false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/48/pages/page_0/files/Scifi2021KowalThe.jpg,"Kowal, Mary Robinette, 1969-",5738787,
Movie poster of the 2014 movie Interstellar,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/106/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/106/pages,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,1 poster with colored illustrations and text; 92 x 62 cm,film posters|Posters,"Held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",StillImage,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/","Interstellar, coming soon : mankind's next step will be our greatest : from the  director of The Dark Knight trilogy and Inception",Science fiction films|Interstellar (Motion picture),2023-06-05T16:36:00.829000+00:00,Warner Bros. Pictures,fedoraAdmin,2023-06-05T16:36:00.829000+00:00,2014,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/106/pages/page_0/files/Interstellar.jpg,,,
"In the future, an unrelenting drought has transfigured Southern California into a surreal, phantasmagoric landscape. With the Central Valley barren, underground aquifer drained, and Sierra snowpack entirely depleted, most ""Mojavs,"" prevented by both armed vigilantes and an indifferent bureaucracy from freely crossing borders to lusher regions, have allowed themselves to be evacuated to internment camps. In Los Angeles' Laurel Canyon, two young Mojavs. Luz, once a poster child for the Bureau of Conservation and its enemies, and Ray, a veteran of the ""forever war"" turned surfer--squat in a starlet's abandoned mansion. Holdouts, they subsist on rationed cola and whatever they can loot, scavenge, and improvise. The couple's fragile love somehow blooms in this arid place, and for the moment, it seems enough. But when they cross paths with a mysterious child, the thirst for a better future begins. They head east, a route strewn with danger: sinkholes and patrolling authorities, bandits and the brutal, omnipresent sun. Ghosting after them are rumors of a visionary dowser a diviner for water and his followers, who whispers say have formed a colony at the edge of a mysterious sea of dunes.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/44/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/44/orderProxies,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,Romance fiction|book jackets|Dystopian fiction|Apocalyptic fiction,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Text|StillImage,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",Gold fame citrus,Droughts|Interpersonal relations|Survival|Dystopias|Southern California|Mojave Desert,2023-06-05T16:46:47.806000+00:00,Riverhead Books,fedoraAdmin,2023-06-05T16:46:47.806000+00:00,2015,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/44/pages/page_0/files/Scifi2021WatkinsGold.jpg,"Watkins, Claire Vaye",4941253,
"One of Batman's deadliest enemies, Poison Ivy is an eco-terrorist who obsesses over plant life and utilizes natural toxins as a weapon. Able to pull from her surrounding environment to take down her enemies, Poison Ivy has a lethal advantage. One of Batman's Rogues Gallery, she has been battling the Dark Knight for decades of comics. Either solo or with the help of her best friend, Harley Quinn, Poison Ivy will stop at nothing to get what she wants.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/20/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/20/pages,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,Superhero comics|Ecofiction|book jackets|Graphic novels,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Text|StillImage,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",Batman Arkham,Superheroes|Ecoterrorism|Good and evil|Batman (Fictitious character)|Poison Ivy (Fictitious character),2023-06-05T16:39:13.509000+00:00,DC Comics,fedoraAdmin,2023-06-05T16:39:13.509000+00:00,[2016],false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/20/pages/page_0/files/Scifi2021Batman.jpg,,5970022,
"""In a future world ravaged by global warming, people have lost the ability to dream, and the dreamlessness has led to widespread madness. The only people still able to dream are North America's indigenous population - and it is their marrow that holds the cure for the rest of the world. But getting the marrow - and dreams - means death for the unwilling donors. Driven to flight, a 15-year-old and his companions struggle for survival, attempt to reunite with loved ones, and take refuge from the ""recruiters"" who seek them out to bring them to the marrow-stealing 'factories.'""",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/25/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/25/pages,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,Dystopian fiction|Ecofiction|book jackets|Science fiction,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Text|StillImage,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",The marrow thieves,"Indians of North America|Dreams|Procurement of organs, tissues, etc.|Global warming|Bone marrow",2023-06-05T16:40:48.253000+00:00,Dancing Cat Books,fedoraAdmin,2023-06-05T16:40:48.253000+00:00,[2017],false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/25/pages/page_0/files/Scifi2021DimalineMarrow.jpg,"Dimaline, Cherie, 1975-",5574140,
Movie poster of the 1995 movie Waterworld,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/102/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/102/pages,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,1 poster with colored illustrations and text; 102 x 69 cm,Posters|film posters,"Held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",StillImage,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/","Waterworld, coming soon : beyond the horizon lies the secret to a new beginning",Science fiction films|Waterworld (Motion picture)|United States,2023-06-05T16:34:45.677000+00:00,Universal Pictures,fedoraAdmin,2023-06-05T16:34:45.677000+00:00,1995,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/102/pages/page_0/files/Waterworld.jpg,,,
"While working with a sixteen-year-old who has been incarcerated for murder, Gabrielle, a therapist, is alarmed by parallels between her client's paranoid fantasies and an escalating series of natural disasters.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/15/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/15/pages,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,Fantasy fiction|Psychological fiction|Ecofiction|book jackets,"Book jacket image of the first edition in the United States of America held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",StillImage|Text,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",The rapture,Extrasensory perception|Environmental disasters|Teenage girls|Women psychotherapists,2023-06-05T16:37:35.494000+00:00,Doubleday,fedoraAdmin,2023-06-05T16:37:35.494000+00:00,[2009],false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/15/pages/page_0/files/Scifi2021JensenRapture.jpg,"Jensen, Liz, 1959-",3546439,
"In the year  2025, Tyrone O'Shaughnessy Tierwater is eking out a bleak living in Southern California, managing a pop star's private menagerie of exotic animals.  Meanwhile, global warming is a reality. The biosphere has collapsed in a grim but pointed way, and most of the major mammalian species - not to mention fish, birds and frogs - are extinct.  At one time, Ty was a passionate environmentalist, so committed to saving the earth that he became an eco-terrorist and, ultimately, a convicted felon. As a member of the radical environmental group Earth Forever!, he unwittingly endangered both his wife, Andrea, and his daughter, Sierra. Now, when he's just trying to survive in a world torn by obdurate storms and winnowing drought, Andrea comes back into his life.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/8/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/8/orderProxies,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,Ecofiction|Science fiction|book jackets,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Text|StillImage,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",A friend of the earth,Environmentalists|Southern California|Fathers and daughters|Extinct animals,2023-06-05T16:33:30.159000+00:00,Viking,fedoraAdmin,2023-06-05T16:33:30.159000+00:00,2000,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/8/pages/page_0/files/Scifi2021BoyleAFriend.jpg,"Boyle, T. Coraghessan",1940590,
"When the Arctic ice pack was first measured in the 1950s, it averaged thirty feet thick in midwinter. By the end of the century it was down to fifteen. One August the ice broke. The next year the breakup started in July. The third year it began in May. That was last year. It's a muggy summer in Washington, D.C., as Senate environmental staffer Charlie Quibler and his scientist wife Anna, work to call attention to the growing crisis of global warming. But as these everyday heroes fight to align the awesome forces of nature with the extraordinary march of technology, fate puts an unusual twist on their efforts--one that will place them at the heart of an unavoidable storm.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/78/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/78/pages,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,Political fiction|Ecofiction|Spy fiction|book jackets,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Text|StillImage,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",Forty signs of rain,Climatic changes|Washington (D.C.)|Global warming|Human beings--Effect of climate on|Environmental degradation|Business intelligence|Legislators|Scientists|Environmental policy,2023-06-05T16:57:38.687000+00:00,Bantam Books,fedoraAdmin,2023-06-05T16:57:38.687000+00:00,[2004],false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/78/pages/page_0/files/Scifi2021RobinsonForty.jpg,"Robinson, Kim Stanley",2496075,
"Ravaged by the ""Change,"" an island nation has built the Wall--an enormous concrete barrier around its entire border. Joseph Kavanagh, a new Defender, has one task: to protect his section of the Wall from the Others, the desperate souls who are trapped amid the rising seas outside and attack constantly. Failure will result in death or a fate perhaps worse: being put to sea and made an Other himself. Beset by cold, loneliness, and fear, Kavanagh tries to fulfill his duties to his demanding Captain and Sergeant, even as he grows closer to his fellow Defenders. And then the Others attack.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/4/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/4/pages,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,Ecofiction|book jackets|Dystopian fiction,"Book jacket image of the First American edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Text|StillImage,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",The wall : a novel,Dystopias|Border security|Climatic changes|Islands|Sea levels,2023-06-05T16:32:13.959000+00:00,W.W. Norton & Company,fedoraAdmin,2023-06-05T16:32:13.959000+00:00,2019,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/4/pages/page_0/files/Scifi2021LanchesterThe.jpg,"Lanchester, John",5861505,
"On a beach in Antarctica, scientist Adam Leith marks the passage of the summer solstice. Back in Sydney his partner Ellie waits for the results of her latest round of IVF treatment. That result, when it comes, will change both their lives and propel them into a future neither could have predicted. In a collapsing England Adam will battle to survive an apocalyptic storm. Against a backdrop of growing civil unrest at home, Ellie will discover a strange affinity with beekeeping. In the aftermath of a pandemic, a young man finds solace in building virtual recreations of the dead. And new connections will be formed from the most unlikely beginnings.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/28/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/28/orderProxies,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,book jackets|Science fiction|Dystopian fiction,"Book jacket image of the First Titan edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Text|StillImage,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",Clade,Families,2023-06-05T16:41:45.166000+00:00,Titan Books,fedoraAdmin,2023-06-05T16:41:45.166000+00:00,2017,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/28/pages/page_0/files/Scifi2021BradleyGlade.jpg,"Bradley, James, 1967-",5547307,
