dc_identifier,ldp_contains,dc_language,dcterms_spatial,fedora_created,dc_format,dc_title,fedora_writable,dcterms_type,fedora_lastModified,dc_subject,dc_creator,dc_rights,fedora_hasParent,dcterms_issued,fedora_createdBy,tamudigital_local/coordinates,fedora_lastModifiedBy,files,dc_contributor
4019451,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/83/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/83/pages,eng,College Station (Tex.),2021-12-23T17:29:23.243000+00:00,reformatted digital|application/tif,"Texas A & M University main campus: College Station, Texas",false,StillImage,2021-12-23T17:29:23.243000+00:00,Texas A & M University--Maps,"Caldwell, Dwight K.","A copyright review process in November 2020 has determined that this particular item is still in copyright, held by the publisher, Texas A&M University. The written permission of any copyright and other rights holders is required for distribution, reproduction, or other use that extends beyond what is authorized by fair use and other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects,1987,fedoraAdmin,(W 96°23ʹ32ʺ--W 96°18ʹ12ʺ/N 30°37ʹ57ʺ--N 30°34ʹ00ʺ),fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/83/pages/page_0/files/4019451.tif,
4015016,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/82/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/82/pages,eng,College Station (Tex.),2021-12-23T17:28:56.885000+00:00,application/tif|reformatted digital,Airport obstruction chart surveyed and Compiled by the National Ocean Survey (NOS),false,StillImage,2021-12-23T17:28:56.885000+00:00,Airports Texas--Maps|Aeronautical charts--Texas|Runways (Aeronautics)--Texas,United States. National Ocean Service,A copyright review process in November 2020 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects,1982,fedoraAdmin,(W 96°23ʹ24ʺ--W 96°19ʹ59ʺ/N 30°36ʹ34ʺ--N 30°33ʹ52ʺ),fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/82/pages/page_0/files/4015016.tif,
5418195,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/42/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/42/orderProxies,eng,College Station (Tex.),2021-12-23T16:47:19.901000+00:00,application/tif|reformatted digital,Texas A&M University motor vehicle regulations: September 1981,false,StillImage,2021-12-23T16:47:19.901000+00:00,Texas A & M University--Maps|Texas A & M University Parking--Maps,Texas A & M University  Police,"A copyright review process in November 2020 has determined that this particular item is still in copyright, held by the publisher, Texas A&M University. The written permission of any copyright and other rights holders is required for distribution, reproduction, or other use that extends beyond what is authorized by fair use and other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects,1981,fedoraAdmin,(W 96°21ʹ34ʺ--W 96°19ʹ24ʺ/N 30°37ʹ48ʺ--N 30°36ʹ11ʺ),fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/42/pages/page_0/files/5418195_a.tif|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/42/pages/page_1/files/5418195_b.tif,
5376501,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/14/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/14/pages,eng,College Station (Tex.),2021-12-23T16:37:48.695000+00:00,reformatted digital|application/tif,Texas A & M University campus parking: 2001-2002,false,StillImage,2021-12-23T16:37:48.695000+00:00,Texas A & M University--Maps|Texas A & M University Parking--Maps,"Texas A & M University. Department of Parking, Traffic & Transportation","A copyright review process in November 2020 has determined that this particular item is still in copyright, held by the publisher, Texas A&M University. The written permission of any copyright and other rights holders is required for distribution, reproduction, or other use that extends beyond what is authorized by fair use and other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects,2001,fedoraAdmin,(W 96°21ʹ47ʺ--W 96°19ʹ22ʺ/N 30°37ʹ40ʺ--N 30°35ʹ32ʺ),fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/14/pages/page_0/files/5376501.tif,
4019835,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/13/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/13/orderProxies,eng,College Station (Tex.),2021-12-23T16:37:33.817000+00:00,reformatted digital|application/tif,Texas A & M University campus parking: 2000-2001,false,StillImage,2021-12-23T16:37:33.817000+00:00,Texas A & M University Parking--Maps|Texas A & M University--Maps,"Texas A & M University. Department of Parking, Traffic & Transportation","A copyright review process in November 2020 has determined that this particular item is still in copyright, held by the publisher, Texas A&M University. The written permission of any copyright and other rights holders is required for distribution, reproduction, or other use that extends beyond what is authorized by fair use and other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects,2000,fedoraAdmin,(W 96°21ʹ47ʺ--W 96°19ʹ22ʺ/N 30°37ʹ40ʺ--N 30°35ʹ32ʺ),fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/13/pages/page_0/files/4019835.tif,
5419619,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/10/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/10/pages,eng,College Station (Tex.),2021-12-23T16:36:45.407000+00:00,application/tif|reformatted digital,Texas A&M University,false,StillImage,2021-12-23T16:36:45.407000+00:00,Texas A & M University--Maps,"Texas A & M University. Department of Parking, Traffic & Transportation","A copyright review process in November 2020 has determined that this particular item is still in copyright, held by the publisher, Texas A&M University. The written permission of any copyright and other rights holders is required for distribution, reproduction, or other use that extends beyond what is authorized by fair use and other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects,1997,fedoraAdmin,(W 96°21ʹ58ʺ--W 96°19ʹ26ʺ/N 30°37ʹ51ʺ--N 30°35ʹ25ʺ),fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/10/pages/page_0/files/5419619.tif,
4025851,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/88/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/88/pages,eng,College Station (Tex.),2021-12-23T17:31:19.732000+00:00,application/tif|reformatted digital,Aerial control diagram: Texas A & M University main campus,false,StillImage,2021-12-23T17:31:19.732000+00:00,Texas A & M University--Maps,Texas A & M University,"A copyright review process in November 2020 has determined that this particular item is still in copyright, held by the publisher, Texas A&M University. The written permission of any copyright and other rights holders is required for distribution, reproduction, or other use that extends beyond what is authorized by fair use and other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects,1978,fedoraAdmin,(W 96°20ʹ57ʺ--W 96°19ʹ21ʺ/N 30°37ʹ44ʺ--N 30°36ʹ17ʺ),fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/88/pages/page_0/files/4025851.tif,
5419611,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/48/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/48/pages,eng,College Station (Tex.),2021-12-23T16:49:15.532000+00:00,application/tif|reformatted digital,Texas A&M University motor vehicle regulations: September 1987,false,StillImage,2021-12-23T16:49:15.532000+00:00,Texas A & M University--Maps|Texas A & M University Parking--Maps,Texas A & M University. Department of Security and University Police,"A copyright review process in November 2020 has determined that this particular item is still in copyright, held by the publisher, Texas A&M University. The written permission of any copyright and other rights holders is required for distribution, reproduction, or other use that extends beyond what is authorized by fair use and other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects,1987,fedoraAdmin,(W 96°21ʹ34ʺ--W 96°19ʹ24ʺ/N 30°37ʹ48ʺ--N 30°36ʹ11ʺ),fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/48/pages/page_0/files/5419611_a.tif|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/48/pages/page_1/files/5419611_b.tif,
2929298,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/58/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/58/orderProxies,eng,College Station (Tex.),2021-12-23T17:06:19.927000+00:00,reformatted digital|application/tif,The Aggie map of Texas A&M University,false,StillImage,2021-12-23T17:06:19.927000+00:00,Texas A & M University--Maps,TAMU GIS Mapping Systems,"A copyright review process in November 2020 has determined that this particular item is still in copyright, held by the publisher, Texas A&M University. The written permission of any copyright and other rights holders is required for distribution, reproduction, or other use that extends beyond what is authorized by fair use and other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects,2004,fedoraAdmin,(W 96°21ʹ42ʺ--W 96°19ʹ19ʺ/N 30°38ʹ03ʺ--N 30°36ʹ00ʺ),fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/58/pages/page_0/files/2929298_2004_a.tif|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/58/pages/page_1/files/2929298_2004_b.tif,Texas A & M University Facilities Coordination|Texas A & M University Transportation Services GIS
5376589,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/20/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/20/orderProxies,eng,College Station (Tex.),2021-12-23T16:39:18.885000+00:00,reformatted digital|application/tif,"On-Campus Bus Route Information, Texas A&M University: 2003-2004",false,StillImage,2021-12-23T16:39:18.885000+00:00,Texas A & M University--Maps,Texas A & M University Transportation Services,"A copyright review process in November 2020 has determined that this particular item is still in copyright, held by the publisher, Texas A&M University. The written permission of any copyright and other rights holders is required for distribution, reproduction, or other use that extends beyond what is authorized by fair use and other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects,2003,fedoraAdmin,(W 96°21ʹ51ʺ--W 96°19ʹ26ʺ/N 30°37ʹ42ʺ--N 30°35ʹ27ʺ),fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/20/pages/page_0/files/5376589.tif,
1654665,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/57/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/57/pages,eng,College Station (Tex.)|Bryan (Tex.),2021-12-23T17:05:59.616000+00:00,application/tif|reformatted digital,"[Aerial photograph of College Station, Texas]",false,StillImage,2021-12-23T17:05:59.616000+00:00,College Station (Tex.)--Maps|Bryan (Tex.)--Maps,,"A copyright review process in November 2020 has determined that this particular item is still in copyright, held by the publisher, the City of College Station, Texas, who graciously shared permission for Texas A&M University Libraries to display this image in this online exhibit. The written permission of any copyright and other rights holders is required for distribution, reproduction, or other use that extends beyond what is authorized by fair use and other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. http://rightsstatements.org/vocab/InC/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects,1996?,fedoraAdmin,(W 96°23ʹ41ʺ--W 96°14ʹ53ʺ/N 30°40ʹ14ʺ--N 30°33ʹ42ʺ),fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/57/pages/page_0/files/1654665.tif,
3875172,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/67/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/67/orderProxies,eng,College Station (Tex.),2021-12-23T17:09:23.245000+00:00,reformatted digital|application/tif,"Welcome to A & M: your guide to the campus of the Agricultural and Mechanical College of Texas, College Station, Texas",false,StillImage,2021-12-23T17:09:23.245000+00:00,"Texas A & M University--Maps, Pictorial",,"A copyright review process in November 2020 has determined that this particular item is still in copyright, held by the publisher, Texas A&M University. The written permission of any copyright and other rights holders is required for distribution, reproduction, or other use that extends beyond what is authorized by fair use and other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects,1960s,fedoraAdmin,(W 96°20ʹ58ʺ--W 96°19ʹ19ʺ/N 30°37ʹ40ʺ--N 30°36ʹ21ʺ),fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/67/pages/page_0/files/3875172_a.tif|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/67/pages/page_1/files/3875172_b.tif,
3873053,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/66/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/66/pages,eng,College Station (Tex.),2021-12-23T17:09:01.978000+00:00,reformatted digital|application/tif,Map of the campus of the A&M College of Texas: showing house numbers and names of streets,false,StillImage,2021-12-23T17:09:01.978000+00:00,Agricultural and Mechanical College of Texas--Buildings--Maps,Agricultural and Mechanical College of Texas Department of Buildings and Grounds,A copyright review process in November 2020 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects,1920,fedoraAdmin,(W 96°20ʹ58ʺ--W 96°20ʹ00ʺ/N 30°37ʹ09ʺ--N 30°36ʹ21ʺ),fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/66/pages/page_0/files/3873053.tif,"Broome, W. S."
5376587,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/19/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/19/orderProxies,eng,College Station (Tex.),2021-12-23T16:39:05.104000+00:00,reformatted digital|application/tif,"Off-Campus Bus Route Information, Texas A&M University: 2003-2004",false,StillImage,2021-12-23T16:39:05.104000+00:00,Bus travel--Texas--College Station--Maps|Bus travel--Texas--Bryan--Maps|Texas A & M University--Maps,Texas A & M University Transportation Services,"A copyright review process in November 2020 has determined that this particular item is still in copyright, held by the publisher, Texas A&M University. The written permission of any copyright and other rights holders is required for distribution, reproduction, or other use that extends beyond what is authorized by fair use and other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects,2003,fedoraAdmin,(W 96°21ʹ52ʺ--W 96°17ʹ20ʺ/N 30°39ʹ47ʺ--N 30°35ʹ08ʺ),fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/19/pages/page_0/files/5376587_a.tif|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/19/pages/page_1/files/5376587_b.tif,
5386747,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/29/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/29/pages,eng,College Station (Tex.),2021-12-23T16:43:44.194000+00:00,application/tif|reformatted digital,Texas A&M University Route Information: 1999-2000,false,StillImage,2021-12-23T16:43:44.194000+00:00,Texas A & M University--Maps|Bus travel--Texas--College Station--Maps|Bus travel--Texas--Bryan--Maps,Texas A & M University Bus Operations,"A copyright review process in November 2020 has determined that this particular item is still in copyright, held by the publisher, Texas A&M University. The written permission of any copyright and other rights holders is required for distribution, reproduction, or other use that extends beyond what is authorized by fair use and other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects,1999,fedoraAdmin,(W 96°22ʹ59ʺ--W 96°17ʹ22ʺ/N 30°39ʹ31ʺ--N 30°34ʹ57ʺ),fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/29/pages/page_0/files/5386747_a.tif|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/29/pages/page_1/files/5386747_b.tif,
4004471,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/78/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/78/pages,eng,College Station (Tex.)|Bryan (Tex.),2022-06-29T20:03:36.127000+00:00,application/tif|reformatted digital,The Bryan-College Station bicycle plan,false,StillImage,2022-06-29T20:25:44.461000+00:00,Bicycle trails--Texas--College Station--Maps|Bicycle lanes--Texas--College Station--Maps|Bicycle lanes--Texas--Bryan--Maps|Bicycle trails--Texas--Bryan--Maps,United States. Federal Highway Administration,A copyright review process in November 2020 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects,1976,fedoraAdmin,(W 96°25ʹ13ʺ--W 96°16ʹ30ʺ/N 30°42ʹ38ʺ--N 30°36ʹ07ʺ),fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/78/pages/page_0/files/4004471_a.tif|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/78/pages/page_1/files/4004471_b.tif,
4003939,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/77/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/77/pages,eng,College Station (Tex.),2021-12-23T17:27:16.201000+00:00,application/tif|reformatted digital,"Base map, Texas A&M University, College Station, Texas",false,StillImage,2021-12-23T17:27:16.201000+00:00,Texas A & M University--Maps,Texas A & M University System,"A copyright review process in November 2020 has determined that this particular item is still in copyright, held by the publisher, Texas A&M University. The written permission of any copyright and other rights holders is required for distribution, reproduction, or other use that extends beyond what is authorized by fair use and other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects,1970,fedoraAdmin,(W 96°22ʹ55ʺ--W 96°19ʹ24ʺ/N 30°38ʹ36ʺ--N 30°33ʹ58ʺ),fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/brazos-maps_objects/77/pages/page_0/files/4003939.tif,"Meek, John S."
