dc_subject,dc_description,dc_rights,dcterms_extent,fedora_created,fedora_createdBy,ldp_contains,dc_title,fedora_writable,dc_contributor,fedora_lastModifiedBy,dc_type,dc_identifier,fedora_lastModified,fedora_hasParent,files
Houston|Texas|20th century.|Corporate minutes|Petroleum industry and trade|Minutes|History,"Cover title.|Minute book, 1901-1908|Gift of Amanda and Ken Kellar '65|The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.|Minutes are handwritten; index is typed.|First entry, July 9 1901 - last entry May 25, 1908.","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",41 cm.|17 leaves (36 cm.)|299 pages,2020-12-05T17:04:34.011000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/131/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/131/orderProxies,Minutes of Houston Oil Company of Texas,false,Houston Oil Company of Texas|Board of Directors,fedoraAdmin,text,minutes_0112,2020-12-05T17:04:34.011000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/131/pages/page_0/files/minutes_0112.jpg
History|Houston|Texas|20th century.|Corporate minutes|Petroleum industry and trade|Minutes,"The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.|Minutes are handwritten; index is typed.|First entry, July 9 1901 - last entry May 25, 1908.|Cover title.|Minute book, 1901-1908|Gift of Amanda and Ken Kellar '65","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",299 pages|41 cm.|17 leaves (36 cm.),2020-12-05T17:31:12.707000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/84/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/84/orderProxies,Minutes of Houston Oil Company of Texas,false,Board of Directors|Houston Oil Company of Texas,fedoraAdmin,text,minutes_0065,2020-12-05T17:31:12.707000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/84/pages/page_0/files/minutes_0065.jpg
20th century.|Corporate minutes|Petroleum industry and trade|Minutes|History|Houston|Texas,"Minute book, 1901-1908|Gift of Amanda and Ken Kellar '65|The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.|Minutes are handwritten; index is typed.|First entry, July 9 1901 - last entry May 25, 1908.|Cover title.","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",17 leaves (36 cm.)|299 pages|41 cm.,2020-12-05T17:38:34.566000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/147/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/147/orderProxies,Minutes of Houston Oil Company of Texas,false,Houston Oil Company of Texas|Board of Directors,fedoraAdmin,text,minutes_0128,2020-12-05T17:38:34.566000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/147/pages/page_0/files/minutes_0128.jpg
History|Houston|Texas|20th century.|Corporate minutes|Petroleum industry and trade|Minutes,"First entry, July 9 1901 - last entry May 25, 1908.|Cover title.|Minute book, 1901-1908|Gift of Amanda and Ken Kellar '65|The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.|Minutes are handwritten; index is typed.","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",299 pages|41 cm.|17 leaves (36 cm.),2020-12-05T16:53:35.588000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/35/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/35/pages,Minutes of Houston Oil Company of Texas,false,Houston Oil Company of Texas|Board of Directors,fedoraAdmin,text,minutes_0016,2020-12-05T16:53:35.588000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/35/pages/page_0/files/minutes_0016.jpg
Petroleum industry and trade|Minutes|History|Houston|Texas|20th century.|Corporate minutes,"The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.|Minutes are handwritten; index is typed.|First entry, July 9 1901 - last entry May 25, 1908.|Cover title.|Minute book, 1901-1908|Gift of Amanda and Ken Kellar '65","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",17 leaves (36 cm.)|299 pages|41 cm.,2020-12-05T17:25:59.791000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/263/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/263/orderProxies,Minutes of Houston Oil Company of Texas,false,Board of Directors|Houston Oil Company of Texas,fedoraAdmin,text,minutes_0244,2020-12-05T17:25:59.791000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/263/pages/page_0/files/minutes_0244.jpg
History|Houston|Texas|20th century.|Corporate minutes|Petroleum industry and trade|Minutes,"Gift of Amanda and Ken Kellar '65|The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.|Minutes are handwritten; index is typed.|First entry, July 9 1901 - last entry May 25, 1908.|Cover title.|Minute book, 1901-1908","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",17 leaves (36 cm.)|299 pages|41 cm.,2020-12-05T16:43:12.121000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/234/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/234/pages,Minutes of Houston Oil Company of Texas,false,Board of Directors|Houston Oil Company of Texas,fedoraAdmin,text,minutes_0215,2020-12-05T16:43:12.121000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/234/pages/page_0/files/minutes_0215.jpg
History|Houston|Index|Texas|20th century.|Corporate minutes|Petroleum industry and trade,"Cover title.|Minute book, 1901-1908|Gift of Amanda and Ken Kellar '65|The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.|Minutes are handwritten; index is typed.|First entry, July 9 1901 - last entry May 25, 1908.","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",41 cm.|17 leaves (36 cm.)|299 pages,2020-12-05T16:56:36.159000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/7/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/7/pages,Minutes of Houston Oil Company of Texas,false,Houston Oil Company of Texas|Board of Directors,fedoraAdmin,text,index_0006,2020-12-05T16:56:36.159000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/7/pages/page_0/files/Index_0006.jpg
Minutes|History|Houston|Texas|20th century.|Corporate minutes|Petroleum industry and trade,"The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.|Minutes are handwritten; index is typed.|First entry, July 9 1901 - last entry May 25, 1908.|Cover title.|Minute book, 1901-1908|Gift of Amanda and Ken Kellar '65","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",17 leaves (36 cm.)|299 pages|41 cm.,2020-12-05T17:06:26.555000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/100/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/100/orderProxies,Minutes of Houston Oil Company of Texas,false,Board of Directors|Houston Oil Company of Texas,fedoraAdmin,text,minutes_0081,2020-12-05T17:06:26.555000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/100/pages/page_0/files/minutes_0081.jpg
History|Houston|Texas|20th century.|Corporate minutes|Petroleum industry and trade|Minutes,"Cover title.|Minute book, 1901-1908|Gift of Amanda and Ken Kellar '65|The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.|Minutes are handwritten; index is typed.|First entry, July 9 1901 - last entry May 25, 1908.","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",299 pages|41 cm.|17 leaves (36 cm.),2020-12-05T17:17:15.542000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/279/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/279/pages,Minutes of Houston Oil Company of Texas,false,Houston Oil Company of Texas|Board of Directors,fedoraAdmin,text,minutes_0260,2020-12-05T17:17:15.542000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/279/pages/page_0/files/minutes_0260.jpg
History|Houston|Texas|20th century.|Corporate minutes|Petroleum industry and trade|Minutes,"First entry, July 9 1901 - last entry May 25, 1908.|Cover title.|Minute book, 1901-1908|Gift of Amanda and Ken Kellar '65|The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.|Minutes are handwritten; index is typed.","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",299 pages|41 cm.|17 leaves (36 cm.),2020-12-05T16:29:52.138000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/116/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/116/orderProxies,Minutes of Houston Oil Company of Texas,false,Board of Directors|Houston Oil Company of Texas,fedoraAdmin,text,minutes_0097,2020-12-05T16:29:52.138000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/116/pages/page_0/files/minutes_0097.jpg
Petroleum industry and trade|Minutes|History|Houston|Texas|20th century.|Corporate minutes,"Minute book, 1901-1908|Gift of Amanda and Ken Kellar '65|The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.|Minutes are handwritten; index is typed.|First entry, July 9 1901 - last entry May 25, 1908.|Cover title.","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",17 leaves (36 cm.)|299 pages|41 cm.,2020-12-05T17:05:02.109000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/165/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/165/pages,Minutes of Houston Oil Company of Texas,false,Houston Oil Company of Texas|Board of Directors,fedoraAdmin,text,minutes_0146,2020-12-05T17:05:02.109000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/165/pages/page_0/files/minutes_0146.jpg
Texas|20th century.|Corporate minutes|Petroleum industry and trade|Minutes|History|Houston,"Cover title.|Minute book, 1901-1908|Gift of Amanda and Ken Kellar '65|The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.|Minutes are handwritten; index is typed.|First entry, July 9 1901 - last entry May 25, 1908.","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",41 cm.|17 leaves (36 cm.)|299 pages,2020-12-05T16:39:17.828000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/203/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/203/orderProxies,Minutes of Houston Oil Company of Texas,false,Houston Oil Company of Texas|Board of Directors,fedoraAdmin,text,minutes_0184,2020-12-05T16:39:17.828000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/203/pages/page_0/files/minutes_0184.jpg
Corporate minutes|Petroleum industry and trade|Minutes|History|Houston|Texas|20th century.,"Minute book, 1901-1908|Gift of Amanda and Ken Kellar '65|The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.|Minutes are handwritten; index is typed.|First entry, July 9 1901 - last entry May 25, 1908.|Cover title.","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",17 leaves (36 cm.)|299 pages|41 cm.,2020-12-05T17:25:31.472000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/252/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/252/pages,Minutes of Houston Oil Company of Texas,false,Houston Oil Company of Texas|Board of Directors,fedoraAdmin,text,minutes_0233,2020-12-05T17:25:31.472000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/252/pages/page_0/files/minutes_0233.jpg
20th century.|Corporate minutes|Petroleum industry and trade|Minutes|History|Houston|Texas,"Cover title.|Minute book, 1901-1908|Gift of Amanda and Ken Kellar '65|The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.|Minutes are handwritten; index is typed.|First entry, July 9 1901 - last entry May 25, 1908.","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",17 leaves (36 cm.)|299 pages|41 cm.,2020-12-05T16:56:22.276000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/69/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/69/pages,Minutes of Houston Oil Company of Texas,false,Houston Oil Company of Texas|Board of Directors,fedoraAdmin,text,minutes_0050,2020-12-05T16:56:22.276000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/69/pages/page_0/files/minutes_0050.jpg
History|Houston|Texas|20th century.|Corporate minutes|Petroleum industry and trade|Minutes,"The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.|Minutes are handwritten; index is typed.|First entry, July 9 1901 - last entry May 25, 1908.|Cover title.|Minute book, 1901-1908|Gift of Amanda and Ken Kellar '65","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",299 pages|41 cm.|17 leaves (36 cm.),2020-12-05T17:34:45.914000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/71/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/71/orderProxies,Minutes of Houston Oil Company of Texas,false,Board of Directors|Houston Oil Company of Texas,fedoraAdmin,text,minutes_0052,2020-12-05T17:34:45.914000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/71/pages/page_0/files/minutes_0052.jpg
History|Houston|Texas|20th century.|Corporate minutes|Petroleum industry and trade|Minutes,"Cover title.|Minute book, 1901-1908|Gift of Amanda and Ken Kellar '65|The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.|Minutes are handwritten; index is typed.|First entry, July 9 1901 - last entry May 25, 1908.","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",41 cm.|17 leaves (36 cm.)|299 pages,2020-12-05T16:46:52.779000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/268/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/268/pages,Minutes of Houston Oil Company of Texas,false,Houston Oil Company of Texas|Board of Directors,fedoraAdmin,text,minutes_0249,2020-12-05T16:46:52.779000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/268/pages/page_0/files/minutes_0249.jpg
20th century.|Corporate minutes|Petroleum industry and trade|Minutes|History|Houston|Texas,"Minute book, 1901-1908|Gift of Amanda and Ken Kellar '65|The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.|Minutes are handwritten; index is typed.|First entry, July 9 1901 - last entry May 25, 1908.|Cover title.","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",17 leaves (36 cm.)|299 pages|41 cm.,2020-12-05T16:31:16.026000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/134/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/134/orderProxies,Minutes of Houston Oil Company of Texas,false,Houston Oil Company of Texas|Board of Directors,fedoraAdmin,text,minutes_0115,2020-12-05T16:31:16.026000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/134/pages/page_0/files/minutes_0115.jpg
History|Houston|Texas|20th century.|Corporate minutes|Petroleum industry and trade|Minutes,"Cover title.|Minute book, 1901-1908|Gift of Amanda and Ken Kellar '65|The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.|Minutes are handwritten; index is typed.|First entry, July 9 1901 - last entry May 25, 1908.","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",41 cm.|17 leaves (36 cm.)|299 pages,2020-12-05T16:29:10.861000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/105/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/105/pages,Minutes of Houston Oil Company of Texas,false,Houston Oil Company of Texas|Board of Directors,fedoraAdmin,text,minutes_0086,2020-12-05T16:29:10.861000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/105/pages/page_0/files/minutes_0086.jpg
Houston|Texas|20th century.|Corporate minutes|Petroleum industry and trade|Minutes|History,"Cover title.|Minute book, 1901-1908|Gift of Amanda and Ken Kellar '65|The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.|Minutes are handwritten; index is typed.|First entry, July 9 1901 - last entry May 25, 1908.","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",41 cm.|17 leaves (36 cm.)|299 pages,2020-12-05T17:40:57.788000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/22/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/22/pages,Minutes of Houston Oil Company of Texas,false,Houston Oil Company of Texas|Board of Directors,fedoraAdmin,text,minutes_0003,2020-12-05T17:40:57.788000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/22/pages/page_0/files/minutes_0003.jpg
History|Houston|Texas|20th century.|Corporate minutes|Petroleum industry and trade|Minutes,"The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.|Minutes are handwritten; index is typed.|First entry, July 9 1901 - last entry May 25, 1908.|Cover title.|Minute book, 1901-1908|Gift of Amanda and Ken Kellar '65","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",299 pages|41 cm.|17 leaves (36 cm.),2020-12-05T16:41:35.598000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/221/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/221/orderProxies,Minutes of Houston Oil Company of Texas,false,Houston Oil Company of Texas|Board of Directors,fedoraAdmin,text,minutes_0202,2020-12-05T16:41:35.598000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/221/pages/page_0/files/minutes_0202.jpg
