fedora_created,ldp_contains,dcterms_type,dc_title,fedora_lastModified,fedora_createdBy,fedora_writable,dc_rights,dc_type,dcterms_created,dc_publisher,fedora_hasParent,dc_format,tamudigital_local/details,dcterms_medium,dcterms_accessRights,dc_identifier,fedora_lastModifiedBy,dcterms_extent,dc_subject,files,dcterms_spatial,dcterms_temporal,dcterms_provenance,dc_relation
2021-03-15T17:45:51.987000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/322/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/322/orderProxies,StillImage,Berger-Cloonan #6672,2021-03-15T17:45:51.987000+00:00,fedoraAdmin,false,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Bouquet marbled papers|art reproduction|curl marbled paper,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects,reformatted digital,"Surface application; Marbled; C2.B1; Previously used as an endpaper in a bookbinding; semi-glossy finish; Inscription original piece: ""BOUND BY ""ORROCK EDINR""; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.a; Not signed. Not stamped.; Yellowing and staining on verso; slightly uneven binding edge; musty odor",Paper,Openly accessible,6672,fedoraAdmin,"1 sheet of red, blue, orange, white and cream marbled paper; 5.00 x 7.75 in.",Marbled papers,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/322/pages/page_0/files/06672.jpg,,,,
2021-03-15T16:49:37.723000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/396/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/396/pages,StillImage,Berger-Cloonan #6881,2021-03-15T16:49:37.723000+00:00,fedoraAdmin,false,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",marbled paper|art reproduction|Random marbled papers,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects,reformatted digital,Surface application; Marbled; C2.B2; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4; Not signed. Not stamped.; Edge torn; musty odor,Paper,Openly accessible,6881,fedoraAdmin,"1 sheet of brown, black and white marbled paper; 1.75 x 7.75 in.",Marbled papers,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/396/pages/page_0/files/06881.jpg,,,,
2021-03-15T18:19:01.302000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/84/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/84/orderProxies,StillImage,Berger-Cloonan #6423,2021-06-21T23:17:31.292000+00:00,fedoraAdmin,false,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",art reproduction|agate marbled paper|endpapers|Stone marbled papers,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects,reformatted digital,Surface application; Marbled; M5.D5.F10; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4.f; Not signed. Not stamped. Not stickered. Not embossed.; Creased; edges torn; foxed; musty odor,Paper,Openly accessible,6423,fedoraAdmin,"1 sheet of pink, orange, blue and white marbled paper; 5.25 x 11.25 in.",Marbled papers,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/84/pages/page_0/files/06423.jpg,,,,
2021-03-15T16:43:52.673000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/132/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/132/pages,StillImage,Berger-Cloonan #6464,2021-06-22T00:13:28.325000+00:00,fedoraAdmin,false,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",curl marbled paper|Peacock marbled papers|art reproduction|Laid lines|endpapers,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects,reformatted digital,"Distribution of fibers; Surface application; Laid; Marbled; M5.D5.F10; Previously used as an endpaper in a bookbinding; abstract, loose pattern; laid paper; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.F.1.g; Not signed. Not stamped.; Deep diagonal crease; corner crease; small hole; irregular edge; spot stains on recto; musty odor",Paper,Openly accessible,6464,fedoraAdmin,"1 sheet of  gray, black and white marbled paper; 6.25 x 6.75 in.",Marbled papers,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/132/pages/page_0/files/06464.jpg,,,,
2021-03-15T17:14:18.916000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/197/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/197/pages,StillImage,Berger-Cloonan #6510,2021-06-22T02:13:20.121000+00:00,fedoraAdmin,false,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Bouquet marbled papers|art reproduction|Laid lines|endpapers|curl marbled paper,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects,reformatted digital,"Distribution of fibers; Surface application; Laid; Marbled; M5.D5.F11; Previously used as an endpaper in a bookbinding; laid paper; semi-glossy sheen; Inscription original piece: ""Call F. S.""; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.F.1.a; Not signed. Not stamped.; Minor creased corners; irregularly torn binding edge; wrinkling; musty odor",Paper,Openly accessible,6510,fedoraAdmin,"1 sheet of red, blue, yellow, white and cream marbled paper; 10.75 x 17.00 in.",Marbled papers,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/197/pages/page_0/files/06510.jpg,,,,
2021-03-15T16:54:08.967000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/109/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/109/pages,StillImage,Berger-Cloonan #6448,2021-06-21T23:43:15.381000+00:00,fedoraAdmin,false,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",art reproduction|agate marbled paper|endpapers|Stone marbled papers,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects,reformatted digital,Surface application; Marbled; M5.D5.F10; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4.f; Not signed. Not stamped. Not stickered. Not embossed.; Edges creased and torn; faded on 1 edge of recto; tiny holes; ink peeled away in small area on recto; stained on verso; musty odor,Paper,Openly accessible,6448,fedoraAdmin,"1 sheet of brown, red, yellow, black and white marbled paper; 6.50 x 9.50 in.",Marbled papers,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/109/pages/page_0/files/06448.jpg,,,,
2021-03-15T16:58:43.445000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/127/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/127/pages,StillImage,Berger-Cloonan #6460,2021-06-22T00:04:31.174000+00:00,fedoraAdmin,false,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",endpapers|Spanish random marbled papers|art reproduction,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects,reformatted digital,Surface application; Marbled; M5.D5.F10; Previously used as an endpaper in a bookbinding; paper thin; glossy finish; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4.e; Not signed. Not stamped. Not stickered. Not embossed.; Wrinkled; ruffled edge; stained on verso; musty odor,Paper,Openly accessible,6460,fedoraAdmin,"1 sheet of gray, black, red, green and white marbled paper; 4.75 x 12.00 in.",Marbled papers,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/127/pages/page_0/files/06460.jpg,,,,
2021-03-15T18:09:02.356000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/423/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/423/orderProxies,StillImage,Berger-Cloonan #12864,2021-03-15T18:09:02.356000+00:00,fedoraAdmin,false,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",French snail marbled papers|dutch marbled paper|curl marbled paper|art reproduction,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects,reformatted digital,"Surface application; Marbled; C2.B1; Previously used as an endpaper in a bookbinding; Inscription original piece: ""CURLED ANT. SPOT""; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.c; Not signed. Not stamped. Not stickered. Not embossed.; Slightly faded and worn on recto; creased corners; yellowing and staining on verso; musty odor",Paper,Openly accessible,12864,fedoraAdmin,"1 sheet of red, blue, yellow, white and cream marbled paper; 6.00 x 9.00 in.",Marbled papers,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/423/pages/page_0/files/12864.jpg,,,,
2021-03-15T17:40:58.788000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/30/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/30/orderProxies,StillImage,Berger-Cloonan #5027,2021-03-15T17:40:58.788000+00:00,fedoraAdmin,false,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Calendered papers|Moire random marbled papers|art reproduction,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects,reformatted digital,Surface application; Surface treated; Marbled; Calendered; W2.D9.F3; Calendered; shiny sheen; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4.d; IX.A; Not signed. Not stamped. Not stickered. Not embossed.; Paper discolored,Paper,Openly accessible,5027,fedoraAdmin,"1 sheet of tan, blue, red, yellow, gold and white marbled paper; 20.25 x 25.50 in.",Marbled papers,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/30/pages/page_0/files/05027.jpg,France,,,
2021-03-15T17:41:26.528000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/302/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/302/pages,StillImage,Berger-Cloonan #6652,2021-03-15T17:41:26.528000+00:00,fedoraAdmin,false,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Spanish random marbled papers|art reproduction,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects,reformatted digital,Surface application; Marbled; C2.B1; Previously used as an endpaper in a bookbinding; glossy finish; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4.e; Not signed. Not stamped.; Paper unevenly cut one side; creased corner; tiny edge tears; wrinkling; musty odor,Paper,Openly accessible,6652,fedoraAdmin,"1 sheet of blue, red, green and white marbled paper; 6.50 x 8.50 in.",Marbled papers,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/302/pages/page_0/files/06652.jpg,,,,
2021-03-15T17:02:25.858000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/143/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/143/orderProxies,StillImage,Berger-Cloonan #6472,2021-06-22T00:24:26.149000+00:00,fedoraAdmin,false,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",art reproduction|endpapers|nonpareil marbled paper|Non pareil marbled papers,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects,reformatted digital,Surface application; Marbled; M5.D5.F10; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. Not stamped.; Torn and corner and edge; wrinkling and creasing; air bubble and pattern disruption marks on recto; staining on verso; musty odor,Paper,Openly accessible,6472,fedoraAdmin,"1 sheet of red, blue, green, orange and white marbled paper; 6.00 x 10.00 in.",Marbled papers,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/143/pages/page_0/files/06472.jpg,,,,
2021-03-15T17:39:34.691000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/295/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/295/orderProxies,StillImage,Berger-Cloonan #6645,2021-03-15T17:39:34.691000+00:00,fedoraAdmin,false,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",art reproduction|Stone marbled papers|agate marbled paper,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects,reformatted digital,Surface application; Marbled; C2.B1; Previously used as an endpaper in a bookbinding; glossy finish; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4.f; Not signed. Not stamped.; Yellowing and spot stains on verso; slight abrasion recto; rough binding edge; musty odor,Paper,Openly accessible,6645,fedoraAdmin,"1 sheet of blue, red, black, gold, white and cream marbled paper; 5.75 x 8.50 in.",Marbled papers,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/295/pages/page_0/files/06645.jpg,,,,
2021-03-15T17:11:57.830000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/186/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/186/pages,StillImage,Berger-Cloonan #6499,2021-06-22T02:00:14.742000+00:00,fedoraAdmin,false,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",dutch marbled paper|curl marbled paper|art reproduction|endpapers|Laid lines|French snail marbled papers,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects,reformatted digital,Distribution of fibers; Surface application; Laid; Marbled; M5.D5.F10; Previously used as an endpaper in a bookbinding; lightly textured paper; laid paper; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.F.1.c; Not signed. Not stamped.; Folded in half; deeply creased and torn corners; deeply creased and torn edges; holes in paper; staining on verso; musty odor,Paper,Openly accessible,6499,fedoraAdmin,"1 sheet of red, blue, green and white marbled paper; 15.00 x 19.75 in.",Marbled papers,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/186/pages/page_0/files/06499.jpg,,,,
2021-03-15T17:30:32.266000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/26/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/26/pages,StillImage,Berger-Cloonan #5023,2021-03-15T17:30:32.266000+00:00,fedoraAdmin,false,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Calendered papers|Moire random marbled papers|art reproduction,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects,reformatted digital,Surface application; Surface treated; Marbled; Calendered; W2.D9.F3; Calendered; shiny sheen; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4.d; IX.A; Not signed. Not stamped. Not stickered. Not embossed.; Paper discolored,Paper,Openly accessible,5023,fedoraAdmin,"1 sheet of tan, blue, red, yellow, gold and white marbled paper; 20.25 x 25.50 in.",Marbled papers,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/26/pages/page_0/files/05023.jpg,France,,,
2021-03-15T17:09:34.881000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/177/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/177/orderProxies,StillImage,Berger-Cloonan #13211,2021-06-22T20:03:50.440000+00:00,fedoraAdmin,false,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",marbled paper|art reproduction|Random marbled papers|endpapers,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects,reformatted digital,Surface application; Marbled; M5.D5.F10; Previously used as an endpaper in a bookbinding; lightly textured paper; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.5; Not signed. Not stamped.; Staining and yellowing on recto and verso; edge tears; tiny corner creases; irregular binding edge; musty odor,Paper,Openly accessible,13211,fedoraAdmin,1 sheet of light blue and cream marbled paper; 7.00 x 9.00 in.,Marbled papers,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/177/pages/page_0/files/13211.jpg,,,,
2021-03-15T17:24:16.459000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/235/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/235/orderProxies,StillImage,Berger-Cloonan #6580,2021-03-15T17:24:16.459000+00:00,fedoraAdmin,false,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",art reproduction|Tiger eye marbled papers,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects,reformatted digital,"Surface application; Marbled; C2.B1; Previously used as an endpaper in a bookbinding; Inscription original piece: ""First Edition""; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4.h; Not signed. Not stamped. Not stickered. Not embossed.; Musty odor",Paper,Openly accessible,6580,fedoraAdmin,"1 sheet of orange, red, brown, black and white marbled paper; 6.25 x 8.25 in.",Marbled papers,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/235/pages/page_0/files/06580.jpg,,,,
2021-03-15T17:21:57.671000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/226/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/226/pages,StillImage,Berger-Cloonan #6571,2021-03-15T17:21:57.671000+00:00,fedoraAdmin,false,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Stormont marbled papers|art reproduction,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects,reformatted digital,"Surface application; Marbled; C2.B1; Previously used as an endpaper in a bookbinding; Inscription original piece: ""John Hamilton""; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4.g; Not signed. Not stamped. Not stickered. Not embossed.; Discolored; musty odor",Paper,Openly accessible,6571,fedoraAdmin,"1 sheet of blue, black, green, yellow, red and white marbled paper; 5.75 x 9.00 in.",Marbled papers,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a_objects/226/pages/page_0/files/06571.jpg,,,,
