dc_format,dcterms_spatial,fedora_createdBy,fedora_hasParent,dcterms_temporal,dc_subject,dc_contributor,ldp_contains,dc_publisher,fedora_writable,fedora_lastModified,dcterms_type,dc_description,fedora_created,dcterms_created,fedora_lastModifiedBy,dc_title,dc_creator,dcterms_abstract,dc_rights,files,dc_identifier,dc_language
Reformatted digital,Texas|United States|College Station (Tex.),fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects,Nineteen thirties|Depressions--1929,Architectural drawings|Design drawings|College Station (Tex.)--History--20th century|Texas A & M University--History-20th century|Depressions--1929--Texas,Texas A & M University. Cushing Memorial Library,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/106/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/106/orderProxies,Texas A & M University. Libraries,false,2020-11-19T22:56:32.788000+00:00,StillImage|Architectural drawings,"This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives",2020-11-19T22:56:32.788000+00:00,1932,fedoraAdmin,Drawing Showing the Details of the Lecture Room in the Chemistry Building,"Vosper, Samuel Charles Phelps",Drawing showing the details of the lecture room in the Chemistry Building.,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/106/pages/page_0/files/atimeofresolve_0110_2019-03.jpg,,
Reformatted digital,College Station (Tex.)|Texas|United States,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects,Depressions--1929,"College Station (Tex.)--History--20th century|Construction|Depressions--1929--Texas|Texas A & M University--History-20th century|Administration Building|Water Tower|Petroleum Engineering, Geology, and Experiment Station Building|Agricultural Engineering Building|Veterinary Hospital|Animal Industries Building|Roads",Texas A & M University. Cushing Memorial Library,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/62/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/62/orderProxies,Texas A & M University. Libraries,false,2020-11-19T22:53:45.331000+00:00,Photographs|StillImage,"This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives; Fritz Hensel '07 Collection",2020-11-19T22:53:45.331000+00:00,,fedoraAdmin,Campus View,,"Photo of the east side of the A&M College campus looking down an unpaved New Main Drive, centered on the Administration Building.",In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/62/pages/page_0/files/atimeofresolve_0075_2019-03.jpg,Scrapbook_Page_of_Admin_From_Highway6_a,
Reformatted digital,College Station (Tex.)|United States|Texas,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects,Depressions--1929,"Depressions--1929--Texas|Texas A & M University--History-20th century|Babcock, Gertrude|Murals|Historic buildings|College Station (Tex.)--History--20th century",Texas A & M University. Cushing Memorial Library,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/137/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/137/pages,Texas A & M University. Libraries,false,2020-11-19T22:58:30.464000+00:00,Photographs|StillImage,"This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives; Graphic Services",2020-11-19T22:58:30.464000+00:00,,fedoraAdmin,Gertrude Babcock Painting Mural in Agricultural Engineering Building,,Photo of the Gertrude Babcock painting on one panel of the mural in the main lecture hall in the Agricultural Engineering Building.,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/137/pages/page_0/files/atimeofresolve_0014_2019-03.jpg,,
Reformatted digital,College Station (Tex.)|United States|Texas,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects,Depressions--1929,College Station (Tex.)--History--20th century|Texas A & M University--History-20th century|Depressions--1929--Texas|Architecture|Architectural elements|Colonnades|Columns,Texas A & M University. Cushing Memorial Library,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/7/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/7/pages,Texas A & M University. Libraries,false,2020-11-19T22:43:20.369000+00:00,Photographs|StillImage,"Inscription on item: Architectural Detail Photo #; This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives; Remstar #3",2020-11-19T22:43:20.369000+00:00,,fedoraAdmin,Colonnade of Administration Building,,Photo of the Colonnade on the East side of the Administration Building.,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/7/pages/page_0/files/atimeofresolve_0021_2019-03.jpg,Admin_Building_Front_Portico_13_4,
Reformatted digital,United States|Texas|College Station (Tex.),fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects,,Halbouty Geoscience Building|Halbouty Petroleum Engineering Building|Architectural elements|Historic buildings|College Station (Tex.)--History--20th century|Water towers|Texas A & M University--History-20th century|Depressions--1929--Texas|Architecture--Details,Texas A & M University. Cushing Memorial Library,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/44/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/44/orderProxies,Texas A & M University. Libraries,false,2020-11-19T22:50:50.213000+00:00,Photographs|StillImage,"Inscription on item: Halbouty Petroleum Engineering Building Photo #; This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives; Remstar #3",2020-11-19T22:50:50.213000+00:00,,fedoraAdmin,"Petroleum Engineering, Geology, and Engineering Experiment Station Building",,"Photo of the Petroleum Engineering, Geology, and Engineering Experiment Station Building with its water tower.",In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/44/pages/page_0/files/atimeofresolve_0056_2019-03.jpg,Halbouty_Petroleum_Engineering_Building_15_20A,
Reformatted digital,College Station (Tex.)|United States|Texas,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects,Depressions--1929,Historic buildings|Contraction|College Station (Tex.)--History--20th century|Depressions--1929--Texas|Texas A & M University--History-20th century|Halbouty Geoscience Building|Halbouty Petroleum Engineering Building,Texas A & M University. Cushing Memorial Library,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/58/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/58/orderProxies,Texas A & M University. Libraries,false,2020-11-19T22:40:06.010000+00:00,Photographs|StillImage,"This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives; Fritz Hensel '07 Collection",2020-11-19T22:40:06.010000+00:00,,fedoraAdmin,Construction views,,"Photos of the front of the Veterinary Hospital in 1933 and the Chemistry Building and the Petroleum Engineering, Geology, and Engineering Experiment Station Building in 1934.",In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/58/pages/page_0/files/atimeofresolve_0071_2019-03.jpg,Scrapbook_Page_Entrance_From_Hwy6_1933_A,
Reformatted digital,College Station (Tex.)|United States|Texas,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects,Depressions--1929,Depressions--1929--Texas|Texas A & M University--History-20th century|Architecture--Details|Architectural elements|Historic buildings|College Station (Tex.)--History--20th century,Texas A & M University. Cushing Memorial Library,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/26/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/26/orderProxies,Texas A & M University. Libraries,false,2020-11-19T22:47:41.984000+00:00,Photographs|StillImage,"Inscription on item: Architectural Detail Photo #; This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives; Remstar #3",2020-11-19T22:47:41.984000+00:00,,fedoraAdmin,Leather covered doors in the Chemistry Building,,Photo of the leather covered doors to the lecture hall in the Chemistry Building.,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/26/pages/page_0/files/atimeofresolve_0039_2019-03.jpg,Chemistry_Building_Leather-Doors_17B,
Reformatted digital,Texas|United States|College Station (Tex.),fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects,Depressions--1929|Nineteen thirties,"Student organizations|Portraits, Group|College Station (Tex.)--History--20th century|Group portrait|College students|Texas A & M University--History-20th century|Depressions--1929--Texas",Texas A & M University. Cushing Memorial Library,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/139/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/139/orderProxies,Texas A & M University. Libraries,false,2020-11-19T22:58:03.196000+00:00,Photographs|StillImage,"This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives",2020-11-19T22:58:03.196000+00:00,1937,fedoraAdmin,Cosmopolitan Club,,Photo of the Cosmopolitan Club.,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/139/pages/page_0/files/atimeofresolve_0138_2019-03.jpg,,
Reformatted digital,United States|Texas|College Station (Tex.),fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects,Depressions--1929|Nineteen thirties,Texas A & M University--History-20th century|Depressions--1929--Texas|Civil Engineering Building|Architectural drawings|Design drawings|College Station (Tex.)--History--20th century,Texas A & M University. Cushing Memorial Library,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/125/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/125/orderProxies,Texas A & M University. Libraries,false,2020-11-19T23:06:52.754000+00:00,StillImage|Architectural drawings,"This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives",2020-11-19T23:06:52.754000+00:00,1932-07-27,fedoraAdmin,"Drawing Showing the East, West, and Front (South) Elevation of the Veterinary Hospital","Vosper, Samuel Charles Phelps|Balsher","Drawing showing the East, West, and Front (South) Elevations of the Veterinary Hospital.",In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/125/pages/page_0/files/atimeofresolve_0129_2019-03.jpg,,
Reformatted digital,College Station (Tex.)|United States|Texas,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects,Depressions--1929|Nineteen thirties,College Station (Tex.)--History--20th century|Depressions--1929--Texas|Texas A & M University--History-20th century|Civil Engineering Building|Architectural drawings|Design drawings,Texas A & M University. Cushing Memorial Library,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/127/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/127/orderProxies,Texas A & M University. Libraries,false,2020-11-19T22:45:46.078000+00:00,Architectural drawings|StillImage,"This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives",2020-11-19T22:45:46.078000+00:00,1932-07-27,fedoraAdmin,Drawing Showing the Details of West Entrance Veterinary Hospital,"Vosper, Samuel Charles",Drawing that shows the details of the west entrance to the Veterinary Hospital.,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/127/pages/page_0/files/atimeofresolve_0131_2019-03.jpg,,
Reformatted digital,College Station (Tex.)|Texas|United States,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects,Depressions--1929,College Station (Tex.)--History--20th century|Depressions--1929--Texas|Texas A & M University--History-20th century|Architectural drawings|Design drawings,Texas A & M University. Cushing Memorial Library,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/107/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/107/pages,Texas A & M University. Libraries,false,2020-11-19T22:55:11.597000+00:00,StillImage|Architectural drawings,"This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives",2020-11-19T22:55:11.597000+00:00,,fedoraAdmin,"Drawing Showing the Front, Rear, and Side Elevations and Longitudinal Section of the Cushing Library",,"Drawing showing the details of the front, rear, and typical side elevation, and the longitudinal section of the Cushing Library.",In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/107/pages/page_0/files/atimeofresolve_0111_2019-03.jpg,,
Reformatted digital,Texas|United States|College Station (Tex.),fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects,Depressions--1929|Nineteen thirties,College Station (Tex.)--History--20th century|Depressions--1929--Texas|Texas A & M University--History-20th century|Construction contracts|Roads--Design and construction|Road construction contracts,Texas A & M University. Cushing Memorial Library,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages,Texas A & M University. Libraries,false,2020-11-19T23:05:34.489000+00:00,Text|Contracts|StillImage,"This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives; Building Contracts Collection, Contract # 425",2020-11-19T23:05:34.489000+00:00,1933-10-31,fedoraAdmin,"Contract concerning street improvements and sidewalks on A&M College campus, partially funded by the Pubic Works Administration.","Giesecke, Fredrick","A contract between A&M College and Henger Construction Company for construction of roads and sidewalks on the college's campus, partially funded by through the Public Works Administration.",In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_0/files/atimeofresolve_0008_2019-03_35.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_1/files/atimeofresolve_0008_2019-03_34.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_2/files/atimeofresolve_0008_2019-03_33.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_3/files/atimeofresolve_0008_2019-03_32.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_4/files/atimeofresolve_0008_2019-03_31.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_5/files/atimeofresolve_0008_2019-03_30.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_6/files/atimeofresolve_0008_2019-03_29.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_7/files/atimeofresolve_0008_2019-03_28.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_8/files/atimeofresolve_0008_2019-03_27.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_9/files/atimeofresolve_0008_2019-03_26.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_10/files/atimeofresolve_0008_2019-03_25.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_11/files/atimeofresolve_0008_2019-03_24.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_12/files/atimeofresolve_0008_2019-03_23.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_13/files/atimeofresolve_0008_2019-03_22.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_14/files/atimeofresolve_0008_2019-03_21.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_15/files/atimeofresolve_0008_2019-03_20.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_16/files/atimeofresolve_0008_2019-03_19.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_17/files/atimeofresolve_0008_2019-03_18.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_18/files/atimeofresolve_0008_2019-03_17.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_19/files/atimeofresolve_0008_2019-03_16.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_20/files/atimeofresolve_0008_2019-03_15.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_21/files/atimeofresolve_0008_2019-03_14.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_22/files/atimeofresolve_0008_2019-03_13.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_23/files/atimeofresolve_0008_2019-03_12.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_24/files/atimeofresolve_0008_2019-03_11.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_25/files/atimeofresolve_0008_2019-03_10.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_26/files/atimeofresolve_0008_2019-03_09.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_27/files/atimeofresolve_0008_2019-03_08.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_28/files/atimeofresolve_0008_2019-03_07.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_29/files/atimeofresolve_0008_2019-03_06.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_30/files/atimeofresolve_0008_2019-03_05.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_31/files/atimeofresolve_0008_2019-03_04.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_32/files/atimeofresolve_0008_2019-03_03.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_33/files/atimeofresolve_0008_2019-03_02.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/3/pages/page_34/files/atimeofresolve_0008_2019-03_01.jpg,,eng
Reformatted digital,College Station (Tex.)|Texas|United States,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects,Nineteen thirties|Depressions--1929,Architectural drawings|Design drawings|College Station (Tex.)--History--20th century|Blueprints|Depressions--1929--Texas|Texas A & M University--History-20th century,Texas A & M University. Cushing Memorial Library,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/79/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/79/pages,Texas A & M University. Libraries,false,2020-11-19T23:01:10.073000+00:00,StillImage,"This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives",2020-11-19T23:01:10.073000+00:00,1932-08-10,fedoraAdmin,Administration Building East and West Elevations,"Vosper, Samuel Charles Phelps",Blueprint showing the east and west elevations of the Administration Building.,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/time_of_resolve_objects/79/pages/page_0/files/atimeofresolve_0003_2019-03.jpg,1,
