fedora_lastModifiedBy,dc_type,fedora_created,dc_format,fedora_hasParent,dc_subject,dc_identifier,dcterms_accessRights,ldp_contains,fedora_lastModified,fedora_writable,dcterms_extent,dc_publisher,dcterms_created,dc_rights,fedora_createdBy,dc_title,dcterms_medium,dcterms_type,tamudigital_local/details,files,dc_creator,dcterms_spatial,dc_contributor,dc_relation
fedoraAdmin,endpapers|nonpareil marbled paper|art reproduction|Non pareil marbled papers,2020-11-19T20:27:42.479000+00:00,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects,Marbled papers,1525,Openly accessible,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/25/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/25/orderProxies,2023-11-09T17:17:42.910000+00:00,false,"1 sheet of blue, yellow, maroon and white marbled paper; 11.00 x 15.50  in.",Texas A & M University. Libraries,19th century,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,Berger-Cloonan #1525,Paper,StillImage,Surface application; Marbled; M4.D1.F6; Previously used as an endpaper in a bookbinding; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. Not stamped. Not stickered. Not embossed.; Edges very torn; fragile,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/25/pages/page_0/files/01525.jpg,,,,
fedoraAdmin,art reproduction|dutch marbled paper|endpapers|French snail marbled papers|curl marbled paper,2020-11-19T20:27:22.342000+00:00,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects,Marbled papers,1517,Openly accessible,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/17/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/17/orderProxies,2023-11-09T16:55:05.246000+00:00,false,"1 sheet of green, blue, red, yellow and white marbled paper; 7.00 x 10.00  in.",Texas A & M University. Libraries,19th century,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,French Curl (Berger-Cloonan #1517),Paper,StillImage,"Surface application; Marbled; M4.D1.F6; Previously used as an endpaper in a bookbinding; heavy weight paper; Inscription original piece: ""French curl""; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.c; Not signed. Not stamped. Not stickered. Not embossed.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/17/pages/page_0/files/01517.jpg,,,,
fedoraAdmin,Silver gilt papers|Laid lines|art reproduction,2020-11-19T20:28:38.215000+00:00,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects,Decorative paper,12296,Openly accessible,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/53/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/53/orderProxies,2022-05-18T23:43:22.689000+00:00,false,"1 sheet of green, silver and off-white silver gilt paper; 13.75 x 16.25 in.",Texas A & M University. Libraries,Circa 1783,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,Berger-Cloonan #12296,Paper,StillImage,"Distribution of fibers; Surface application; Laid; Printed; P4.D6.F1; Overall pattern with star or asterisk and dot design; tarnished silver over green paste; 4 borders; laid paper; Inscription original piece: ""PAUL REYMUND in NURNBERG No 16, [above that, signed in larger letters]: ""BEY GEORG REYMUND IN AUGSPURG""; Contained in clear plastic sleeve; Not in Haemmerle; 2 signatures exceptionally uncommon; Sidney E. Berger and Michele V. Cloonan purchased the sheet from Bassenge Kunst und Buchauktion in 2011.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.H.1.d.2; Not signed. Stamped.; Center fold line",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/53/pages/page_0/files/12296.jpg,"Reymund, Georg|Reymund, Paul",Germany--Augsburg,,
fedoraAdmin,Folded and dyed papers|art reproduction,2020-11-19T20:27:42.306000+00:00,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects,Decorative paper,1523,Openly accessible,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/23/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/23/orderProxies,2020-11-19T20:27:42.306000+00:00,false,"1 sheet of blue, yellow, green and white dyed paper; 19.00 x 24.00 (unfolded) in.",Texas A & M University. Libraries,19th century,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,Berger-Cloonan #1523,Paper,StillImage,Impregnated; Dyed; M4.D1.F6; Light weight paper; visible fibers; folded; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: IV.A.2; Not signed. Not stamped. Not stickered. Not embossed.; Creased along folds; 1 large tear,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/23/pages/page_0/files/01523.jpg,,,,
fedoraAdmin,art reproduction|Laid lines|Gold gilt papers,2020-11-19T20:28:22.150000+00:00,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects,Decorative paper,12285,Openly accessible,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/45/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/45/pages,2022-05-18T23:41:30.289000+00:00,false,"1 sheet of orange, gold and off-white Dutch gilt paper; 14.25 x 17.75 in.",Texas A & M University. Libraries,Circa 1745,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,Berger-Cloonan #12285,Paper,StillImage,"Distribution of fibers; Surface application; Laid; Printed; P4.D6.F1; Overall checkerboard pattern; gold against orange paste; 4 borders; laid paper; Inscription original piece: ""In Augspurg bei Johann Wilhelm Mayer No 9""; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.H.1.d.1; Not signed. Stamped.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/45/pages/page_0/files/12285.jpg,"Meyer, Johann Wilhem",Germany--Augsburg,,
fedoraAdmin,nonpareil marbled paper|art reproduction|Non pareil marbled papers|endpapers,2020-11-19T20:27:22.599000+00:00,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects,Marbled papers,1519,Openly accessible,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/19/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/19/pages,2023-11-09T16:43:24.973000+00:00,false,"1 sheet of black, blue, red, yellow and white marbled paper; 10.25 x 15.00 in.",Texas A & M University. Libraries,19th century,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,Berger-Cloonan #1519,Paper,StillImage,Surface application; Marbled; M4.D1.F6; Previously used as an endpaper in a bookbinding; heavy weight paper; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. Not stamped. Not stickered. Not embossed.; Edges torn; small portion of pattern torn off,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/19/pages/page_0/files/01519.jpg,,,,
fedoraAdmin,Non pareil marbled papers|endpapers|nonpareil marbled paper|art reproduction,2020-11-19T20:27:22.370000+00:00,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects,Marbled papers,1516,Openly accessible,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/16/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/16/pages,2023-11-09T16:41:41.672000+00:00,false,"1 sheet of maroon, blue, black, brown, yellow and white marbled paper; 5.50 x 8.25  in.",Texas A & M University. Libraries,19th century,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,Berger-Cloonan #1516,Paper,StillImage,Surface application; Marbled; M4.D1.F6; Previously used as an endpaper in a bookbinding; heavy weight paper; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. Not stamped. Not stickered. Not embossed.; Small tear along edge,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/16/pages/page_0/files/01516.jpg,,,,
fedoraAdmin,art reproduction|Gold gilt papers,2020-11-19T20:28:02.387000+00:00,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects,Decorative paper,12279,Openly accessible,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/39/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/39/orderProxies,2020-11-19T20:28:02.387000+00:00,false,"1 sheet of orange, purple, green, yellow, gold and cream Dutch gilt paper; 11.00 x 17.25 in.",Texas A & M University. Libraries,Circa 1750,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,Berger-Cloonan #12279,Paper,StillImage,Surface application; Printed; P4.D6.F1; Colorful floral pattern; pieced together and pasted onto backing; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H.1.d.1; Not signed. Not stamped. Not stickered. Not embossed.; Section measuring 3.00 to 4.00 inches cut out of 1 corner; torn; curled edge; slightly faded; stored in clear plastic; musty odor,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/39/pages/page_0/files/12279.jpg,,,,
fedoraAdmin,endpapers|nonpareil marbled paper|art reproduction|Non pareil marbled papers,2020-11-19T20:28:02.804000+00:00,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects,Marbled papers,1500,Openly accessible,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/4/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/4/orderProxies,2023-11-09T17:04:15.914000+00:00,false,"1 sheet of yellow, green, blue, maroon and white marbled paper; 5.50 x 9.00  in.",Texas A & M University. Libraries,19th century,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,Berger-Cloonan #1500,Paper,StillImage,Surface application; Marbled; M4.D1.F6; Previously used as an endpaper in a bookbinding; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. Not stamped. Not stickered. Not embossed.,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/4/pages/page_0/files/01500.jpg,,,,
fedoraAdmin,art reproduction|Embossed papers,2020-11-19T20:27:42.255000+00:00,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects,Decorative paper,9227,Openly accessible,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/26/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/26/pages,2020-11-19T20:27:42.255000+00:00,false,1 sheet of black and white embossed paper; 5.75 x 19.50 in.,Texas A & M University. Libraries,Late 19th century,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,Berger-Cloonan #9227,Paper,StillImage,Surface treated; Embossed; M2.D4.F7; Diamond pattern; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: IX.D; Not signed. Not stamped.; Corner missing,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/26/pages/page_0/files/09227.jpg,,,Aschoffenberg [?],
fedoraAdmin,art reproduction|Lithographed papers|endpapers,2020-11-19T20:27:41.620000+00:00,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects,Decorative paper,1521,Openly accessible,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/21/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/21/pages,2023-11-09T17:14:34.150000+00:00,false,"1 sheet of red, blue, black, yellow and white printed paper; 9.25 x 11.75 in.",Texas A & M University. Libraries,19th century,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,Berger-Cloonan #1521,Paper,StillImage,"Surface application; Printed; M4.D1.F6; Previously used as an endpaper in a bookbinding; pattern resembles non pareil marbling; heavy weight paper; Inscription original piece: ""printed""; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H.4; Not signed. Not stamped. Not stickered. Not embossed.; Creased along edge",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/21/pages/page_0/files/01521.jpg,,,,
fedoraAdmin,Laid lines|Dutch gilt papers|art reproduction,2020-11-19T20:28:02.381000+00:00,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects,Decorative paper,12278,Openly accessible,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/38/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/38/pages,2022-05-18T23:35:43.033000+00:00,false,"1 sheet of light green, gold and off-white Dutch gilt paper; 13.50 x 16.75 in.",Texas A & M University. Libraries,1730-1760,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,Berger-Cloonan #12278,Paper,StillImage,"Distribution of fibers; Surface application; Laid; Printed; P4.D6.F1; Overall floral pattern; pale green paste background; 4 light borders; laid paper; Inscription original piece: ""In Augspurg zv Finden bey Johann Michael Munck N 14""; Contained in clear plastic sleeve along with another sheet of Dutch gilt.  See Haemmerle #241; Sidney E. Berger and Michele V. Cloonan purchased the sheet from Hosie Baskin in 12/1995.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.H.1.d; Not signed. Stamped.; Center fold line; folded",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/38/pages/page_0/files/12278.jpg,"Munck, Johann Michael",Germany--Augsburg,,
fedoraAdmin,Oil on water marbled papers|art reproduction,2020-11-19T20:28:02.814000+00:00,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects,Marbled papers,11376,Openly accessible,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/30/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/30/orderProxies,2020-11-19T20:28:02.814000+00:00,false,"1 sheet of purple, brown, black and cream marbled paper; 20.00 x 25.75 in.",Texas A & M University. Libraries,19th century,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,Berger-Cloonan #11376,Paper,StillImage,Surface application; Marbled; M5.D3.F9; Glossy finish; Frederik Muller donated the sheet to Sidney E. Berger and Michele V. Cloonan in 2008.  Sidney E. Berger met Frederik Muller at the Antiquarian Booksellers Association of America (ABAA) Book Fair in Boston that same year.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.f; Not signed. Not stamped.; Marbling color on side edges on verso; creased; wrinkled; black marks on verso,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/30/pages/page_0/files/11376.jpg,,,,M5.D3.F9.A
fedoraAdmin,Laid lines|Gold gilt papers|art reproduction,2020-11-19T20:28:22.148000+00:00,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects,Decorative paper,12286,Openly accessible,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/46/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/46/orderProxies,2020-11-19T20:28:22.148000+00:00,false,"1 sheet of blue, gold and off-white Dutch gilt paper; 13.75 x 16.50 in.",Texas A & M University. Libraries,1770 [?],"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,Berger-Cloonan #12286,Paper,StillImage,"Distribution of fibers; Surface application; Laid; Printed; P4.D6.F1; Overall pattern of 3 rows of 7 soldiers each; gold against blue-green paste; 4 borders; laid paper; Inscription original piece: ""Johan M? No 28?""; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.H.1.d.1; Not signed. Stamped.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/46/pages/page_0/files/12286.jpg,,,,
fedoraAdmin,nonpareil marbled paper|art reproduction|Non pareil marbled papers|endpapers,2020-11-19T20:27:22.457000+00:00,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects,Marbled papers,1518,Openly accessible,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/18/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/18/pages,2023-11-09T16:31:20.179000+00:00,false,"1 sheet of blue, red, yellow and white marbled paper; 7.50 x 9.25  in.",Texas A & M University. Libraries,Early 18th century [?],"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,Berger-Cloonan #1518,Paper,StillImage,"Surface application; Marbled; M4.D1.F6; Previously used as an endpaper in a bookbinding; heavy weight paper; Inscription original piece: ""possibly early 18th c.""; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. Not stamped. Not stickered. Not embossed.; Faded; worn",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/18/pages/page_0/files/01518.jpg,,,,
fedoraAdmin,nonpareil marbled paper|art reproduction|Non pareil marbled papers|endpapers,2020-11-19T20:27:21.874000+00:00,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects,Marbled papers,1513,Openly accessible,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/13/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/13/orderProxies,2023-11-09T16:49:03.609000+00:00,false,"1 sheet of maroon, blue, green, yellow and white marbled paper; 5.75 x 8.50 in.",Texas A & M University. Libraries,19th century,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,Berger-Cloonan #1513,Paper,StillImage,Surface application; Marbled; M4.D1.F6; Previously used as an endpaper in a bookbinding; heavy weight paper; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. Not stamped. Not stickered. Not embossed.; 1 large tear; edges worn and uneven,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/13/pages/page_0/files/01513.jpg,,,,
fedoraAdmin,Gold gilt papers|art reproduction|Laid lines,2020-11-19T20:27:00.845000+00:00,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects,Decorative paper,12302,Openly accessible,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/59/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/59/orderProxies,2020-11-19T20:27:00.845000+00:00,false,"1 full sheet in 2 parts of red, gold and off-white Dutch gilt paper; 13.75 x 15.50 in.",Texas A & M University. Libraries,Circa 1720,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,Berger-Cloonan #12302,Paper,StillImage,"Distribution of fibers; Surface application; Laid; Printed; P4.D6.F1; Overall pattern of floral vignette design with birds, cupids, cornucopiae, grotesques, etc.; gold over carmine paste; laid paper; heavy weight paper due to varnishing; Contained in clear plastic sleeve; Note: numbered 12302A and 12302B; Sidney E. Berger and Michele V. Cloonan purchased the sheet.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.H.1.d.1; Not signed. Not stamped.; Center fold line; torn down the middle; small holes; tears; stained on recto",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/59/pages/page_0/files/12302.jpg,,,,
fedoraAdmin,Laid lines|Gold gilt papers|art reproduction,2020-11-19T20:27:01.898000+00:00,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects,Decorative paper,12301,Openly accessible,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/58/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/58/orderProxies,2020-11-19T20:27:01.898000+00:00,false,"1 sheet of red, gold and off-white Dutch gilt paper; 13.50 x 16.50 in.",Texas A & M University. Libraries,Circa 1750,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,Berger-Cloonan #12301,Paper,StillImage,Distribution of fibers; Surface application; Laid; Printed; P4.D6.F1; Overall pattern floral design; gold over carmine paste; 4 borders; laid paper; Contained in clear plastic sleeve; Sidney E. Berger and Michele V. Cloonan purchased the sheet from the anitquarian Sabine Keune in 02/2001.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.H.1.d.1; Not signed. Not stamped.; Center fold line,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_objects/58/pages/page_0/files/12301.jpg,,,,
