dc_type,fedora_lastModifiedBy,dc_rights,dc_identifier,dc_title,tamudigital_local/details,dcterms_type,dc_relation,fedora_writable,fedora_lastModified,fedora_createdBy,dc_subject,dcterms_extent,fedora_hasParent,fedora_created,dcterms_medium,ldp_contains,dc_format,files,dcterms_spatial,dc_creator,dcterms_created,dc_contributor
French snail marbled papers|Dutch marbled paper|curl marbled paper|art reproduction,fedoraAdmin,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,11724,Berger-Cloonan #11724,"Distribution of fibers; Surface application; Laid Marbled; P2.D3.F4; Laid paper; semi-gloss finish; light weight paper; white areas on recto; Sidney E. Berger and Michele V. Cloonan purchased the sheet in Paris, France in 07/2013.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.F.1.c; Not signed; Not stamped; Wrinkled; holes; tiny edge tears; stained on verso; curled and torn binding edge; Contained in white plastic bag that reads on recto and verso: CIRQUE PHOTO/VIDEO 9 et 9 bis, bd des Filles-du-Calvaire 75003 PARIS Tél: 01 40 29 91 91 www.lecirqur.fr [images of cameras and computer]",StillImage,P2.D3.F4.A,false,2022-06-13T21:15:38.509000+00:00,fedoraAdmin,Marbled papers,"1 sheet of red, blue, yellow and white marbled paper; 7.50 x 10.00 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects,2022-06-13T21:15:38.509000+00:00,Paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/216/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/216/orderProxies,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/216/pages/page_0/files/11724.jpg,,,,
curl marbled paper|art reproduction|French snail marbled papers|Dutch marbled paper,fedoraAdmin,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,11625,Berger-Cloonan #11625,"Distribution of fibers; Surface application; Laid Marbled; P2.D3.F4; Laid paper; semi-gloss finish on recto; [written in pencil on verso]: ""i h u No. 90 No. 78""; Sidney E. Berger and Michele V. Cloonan purchased the sheet in Paris, France in 07/2013.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.F.1.c; Not signed; Not stamped; Creased; wrinkled; tiny edge tear; curled and worn binding edge; black marks on recto; discolored on verso; Contained in white plastic bag that reads: CITROEN RACING",StillImage,P2.D3.F4.A,false,2022-06-13T21:12:55.830000+00:00,fedoraAdmin,Marbled papers,"1 sheet of red, green, yellow and white marbled paper; 9.75 x 15.50 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects,2022-06-13T21:12:55.830000+00:00,Paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/117/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/117/pages,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/117/pages/page_0/files/11625.jpg,,,,
zebra marbled paper|endpapers|art reproduction,fedoraAdmin,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,12825,Berger-Cloonan #12825,Surface application; Marbled; C2.B4; Previously used as an endpaper in a bookbinding; Rounded top corners; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.i; Not signed; Not stamped; Folded in half; torn; creased; pinholes; faded and stained on recto and verso,StillImage,,false,2022-06-13T21:17:37.272000+00:00,fedoraAdmin,Marbled papers|Marbling (Bookbinding),"1 sheet of blue, red, yellow, orange, black and white marbled paper; 16.75 x 11.00 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects,2022-06-13T21:17:37.272000+00:00,Paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/285/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/285/orderProxies,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/285/pages/page_0/files/12825.jpg,,,,
Stormont marbled paper|endpapers|art reproduction,fedoraAdmin,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,8345,Berger-Cloonan #8345,Surface application; Marbled; C2.B4; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4.g; Not signed; Not stamped; Not stickered; Not embossed; Creased; torn; wrinkled; binding edge; stained and discolored on verso,StillImage,,false,2022-06-13T21:11:28.414000+00:00,fedoraAdmin,Marbling (Bookbinding)|Marbled papers,"1 sheet of black, green, red, brown and white marbled paper; 8.00 x 10.00 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects,2022-06-13T21:11:28.414000+00:00,Paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/66/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/66/orderProxies,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/66/pages/page_0/files/08345.jpg,,,,
marbled paper|Oil on water marbled papers|endpapers|art reproduction,fedoraAdmin,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,12843,Berger-Cloonan #12843,Surface application; Marbled; C2.B4; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.f; Not signed; Not stamped; Slightly faded edges on recto; binding edge unevenly cut out; wrinkling; slightly discolored on verso,StillImage,,false,2022-06-13T21:18:04.146000+00:00,fedoraAdmin,Marbling (Bookbinding)|Marbled papers,"1 sheet of light blue, gray and white marbled paper; 8.50 x 10.50 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects,2022-06-13T21:18:04.146000+00:00,Paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/303/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/303/orderProxies,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/303/pages/page_0/files/12843.jpg,,,,
Stone marbled papers|endpapers|art reproduction|agate marbled paper,fedoraAdmin,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,8381,Berger-Cloonan #8381,"Surface application; Marbled; C2.B4; Previously used as an endpaper in a bookbinding; [Written in pencil on verso]: ""X""; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4.f; Not signed; Not stamped; Rough binding edge; tideline in one corner",StillImage,,false,2022-06-13T21:12:26.313000+00:00,fedoraAdmin,Marbled papers|Marbling (Bookbinding),"1 sheet of blue, red and white marbled paper; 7.50 x 9.50 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects,2022-06-13T21:12:26.313000+00:00,Paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/102/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/102/pages,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/102/pages/page_0/files/08381.jpg,,,,
Stormont marbled paper|endpapers|art reproduction,fedoraAdmin,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,8344,Berger-Cloonan #8344,Distribution of fibers; Surface application; Laid Marbled; C2.B4; Previously used as an endpaper in a bookbinding; Laid paper; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.F.4.g; Not signed; Not stamped; Not stickered; Not embossed; Binding edge; spot stained and discolored on verso,StillImage,,false,2022-06-13T21:11:28.017000+00:00,fedoraAdmin,Marbling (Bookbinding)|Marbled papers,"1 sheet of gray, green, blue and white marbled paper; 5.00 x 8.00 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects,2022-06-13T21:11:28.017000+00:00,Paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/65/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/65/pages,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/65/pages/page_0/files/08344.jpg,,,,
art reproduction|French snail marbled papers|Dutch marbled paper|curl marbled paper,fedoraAdmin,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,13117,Berger-Cloonan #13117,"Distribution of fibers; Surface application; Laid Marbled; P2.D3.F4; Laid paper; dull, semi-gloss finish; pairs of alternating French snail designs; attached sheet of cream laid paper; open red and blue areas in pattern; Sidney E. Berger and Michele V. Cloonan purchased the sheet in Paris, France in 07/2013.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.F.1.c; Not signed; Not stamped; Creased; torn binding edge with loose remnants; discolored edge on verso; attached sheet partially loose; Contained in white plastic bag that reads on recto and verso: CIRQUE PHOTO/VIDEO 9 et 9 bis, bd des Filles-du-Calvaire 75003 PARIS Tél: 01 40 29 91 91 www.lecirqur.fr [images of cameras and computer]",StillImage,P2.D3.F4.A,false,2022-06-13T21:19:48.962000+00:00,fedoraAdmin,Marbled papers,"1 sheet of red, blue, yellow and white marbled paper; 7.25 x 10.00 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects,2022-06-13T21:19:48.962000+00:00,Paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/366/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/366/orderProxies,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/366/pages/page_0/files/13117.jpg,,,,
art reproduction|agate marbled paper|Stone marbled papers|endpapers,fedoraAdmin,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,8329,Berger-Cloonan #8329,"Surface application; Marbled; C2.B4; Previously used as an endpaper in a bookbinding; [printed in black ink on verso]: ""A 1""; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4.f; Not signed; Not stamped; Faded; creased; corner and edge tears; worn and torn binding edge; discolored and stained on verso",StillImage,,false,2022-06-13T21:11:04.227000+00:00,fedoraAdmin,Marbled papers|Marbling (Bookbinding),"1 sheet of green, orange, purple and white marbled paper; 8.50 x 10.75 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects,2022-06-13T21:11:04.227000+00:00,Paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/50/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/50/pages,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/50/pages/page_0/files/08329.jpg,,,,
art reproduction|Gold gilt papers|decorated paper,fedoraAdmin,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,5422|12369,Berger-Cloonan #12369,"Distribution of fibers; Surface application; Laid Printed; P4.D6.F6; Overall pattern of small floral design; gold over carmine paste; 4 borders; laid paper; [printed in the block on recto} ""MAISCH NURNBERG""; Sidney E. Berger and Michele V. Cloonan purchased the sheet from Bassenge Kunst und Buchauktion (Auction 103, Lot #5422) in 07/2011.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.H.1.d.1; Not signed; Not stamped; Not stickered; Not embossed; Creased; stain on lower corner on recto",StillImage,,false,2022-06-13T21:17:01.435000+00:00,fedoraAdmin,Decorative paper,"1 sheet of red, gold and cream printed paper; 14.25 x 15.25 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects,2022-06-13T21:17:01.435000+00:00,Paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/264/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/264/pages,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/264/pages/page_0/files/12369.jpg,Germany--Nuremberg,"Maisch, Johann",,
art reproduction|agate marbled paper|Stone marbled papers|endpapers,fedoraAdmin,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,8374,Berger-Cloonan #8374,Surface application; Marbled; C2.B4; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4.f; Not signed; Not stamped; Torn; creased; wrinkled; stained on verso,StillImage,,false,2022-06-13T21:12:17.641000+00:00,fedoraAdmin,Marbling (Bookbinding)|Marbled papers,"1 sheet of brown, black and white marbled paper; 6.00 x 7.50 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects,2022-06-13T21:12:17.641000+00:00,Paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/95/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/95/orderProxies,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/95/pages/page_0/files/08374.jpg,,,,
art reproduction|French snail marbled papers|Dutch marbled paper|curl marbled paper,fedoraAdmin,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,11667,Berger-Cloonan #11667,"Distribution of fibers; Surface application; Laid Marbled; P2.D3.F4; Laid paper; very dull, semi-gloss finish; French snail pattern with open red and blue areas; Sidney E. Berger and Michele V. Cloonan purchased the sheet in Paris, France in 07/2013.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.F.1.c; Not signed; Not stamped; Curled and torn binding edge; creased; stained and discolored on verso; Contained in white plastic bag that reads on recto and verso: CIRQUE PHOTO/VIDEO 9 et 9 bis, bd des Filles-du-Calvaire 75003 PARIS Tél: 01 40 29 91 91 www.lecirqur.fr [images of cameras and computer]",StillImage,P2.D3.F4.A,false,2022-06-13T21:14:04.465000+00:00,fedoraAdmin,Marbled papers,"1 sheet of red, medium blue, yellow and white marbled paper; 7.50 x 10.00 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects,2022-06-13T21:14:04.465000+00:00,Paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/159/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/159/pages,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/159/pages/page_0/files/11667.jpg,,,,
French snail marbled papers|Dutch marbled paper|curl marbled paper|endpapers|art reproduction,fedoraAdmin,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,8195,Berger-Cloonan #8195,Distribution of fibers; Surface application; Laid Marbled; C2.B4; Previously used as an endpaper in a bookbinding; Light weight paper; laid lines; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.F.1.c; Not signed; Not stamped; Creased corner; discolored and stained on verso; slightly faded on recto; binding edge,StillImage,,false,2022-06-13T21:10:44.526000+00:00,fedoraAdmin,Marbled papers|Marbling (Bookbinding),"1 sheet of light blue, brown, yellow and white marbled paper; 7.50 x 9.25 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects,2022-06-13T21:10:44.526000+00:00,Paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/39/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/39/pages,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/39/pages/page_0/files/08195.jpg,,,,
art reproduction|French snail marbled papers|Dutch marbled paper|curl marbled paper,fedoraAdmin,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,11752,Berger-Cloonan #11752,"Distribution of fibers; Surface application; Laid Marbled; P2.D3.F4; Laid paper; semi-gloss finish; large French snail pattern; Sidney E. Berger and Michele V. Cloonan purchased the sheet in Paris, France in 07/2013.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.F.1.c; Not signed; Not stamped; Creased; wrinkled; discolored edge on verso; curled and worn binding edge; Contained in white plastic bag that reads on recto and verso: CIRQUE PHOTO/VIDEO 9 et 9 bis, bd des Filles-du-Calvaire 75003 PARIS Tél: 01 40 29 91 91 www.lecirqur.fr [images of cameras and computer]",StillImage,P2.D3.F4.A,false,2022-06-13T21:16:27.442000+00:00,fedoraAdmin,Marbled papers,"1 sheet of red, green, orange, white and cream marbled paper; 7.50 x 9.75 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects,2022-06-13T21:16:27.442000+00:00,Paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/244/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/244/orderProxies,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_6_objects/244/pages/page_0/files/11752.jpg,,,,
