dc_subject,dc_format,fedora_created,ldp_contains,dc_summary,fedora_lastModified,dc_identifer,dc_creator,dc_type,fedora_createdBy,dcterms_extent,dc_language,dcterms_type,dc_rights,fedora_hasParent,dc_title,dcterms_isPartOf,dc_description,dc_publisher,fedora_lastModifiedBy,dcterms_issued,fedora_writable,files,dc_contributor
Disasters|Outer space|Survival|Earth (Planet),reformatted digital,2022-11-16T21:58:48.416000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/53/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/53/pages,"Five thousand years later after a catastrophic event rendered the Earth a ticking time bomb, the progeny of a handful of outer space explorers--seven distinct races now three billion strong--embark on yet another audacious journey: to return to Earth.",2022-11-16T21:58:48.416000+00:00,4907629,"Stephenson, Neal,",book jackets|Science fiction,fedoraAdmin,Book cover,eng,StillImage|Text,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,Seveneves : [a novel],Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",William Morrow,fedoraAdmin,[2015],false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/53/pages/page_0/files/Scifi2021StephensonSeveneves.jpg,
Disasters|Plant viruses|Starvation|Grain--Diseases and pests,reformatted digital,2022-11-16T21:59:55.427000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/67/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/67/orderProxies,"A new virus strain has infected rice crops in East Asia causing massive famine; the virus is also revealed to be found in the UK but because of its selectivity does not affect the country's agriculture. After the introduction of a new pesticide, developed in preference to breeding resistant crops, a mutated virus appears and infects the staple crops of West Asia and Europe such as wheat and barley - all of the grasses (thus the novel's title). It threatens a famine engulfing the whole of the Old World, while Australasia and the Americas attempt to impose rigorous quarantine to keep the virus out.",2022-11-16T21:59:55.427000+00:00,412760,"Christopher, John, 1922-2012",Dystopian fiction|Ecofiction|book jackets|Science fiction,fedoraAdmin,Book cover,eng,StillImage|Text,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,No blade of grass,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Avon Books,fedoraAdmin,1975,false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/67/pages/page_0/files/Scifi2021ChristopherNo.jpg,
Global warming|Biologists|Twenty-second century,reformatted digital,2022-11-16T21:59:22.608000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/61/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/61/orderProxies,"The Drowned World imagines a terrifying world in which global warming has melted the ice caps and primordial jungles have overrun a tropical London. Set during the year 2145, this novel follows biologist Dr. Robert Kearns and his team of scientists as they confront a cityscape in which nature is on the rampage and giant lizards, dragonflies, and insects fiercely compete for domination.",2022-11-16T21:59:22.608000+00:00,800010,"Ballard, J. G., 1930-2009",Apocalyptic fiction|Ecofiction|book jackets|Science fiction,fedoraAdmin,Book cover,eng,Text|StillImage,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,The drowned world,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Dragon's Dream,fedoraAdmin,[1981],false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/61/pages/page_0/files/Scifi2021BallardThe.jpg,
Waterworld (Motion picture)|United States|Science fiction films,reformatted digital,2022-11-16T21:55:56.388000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/102/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/102/orderProxies,Movie poster of the 1995 movie Waterworld,2022-11-16T21:55:56.388000+00:00,,,Posters|film posters,fedoraAdmin,1 poster with colored illustrations and text; 102 x 69 cm,eng,StillImage,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,"Waterworld, coming soon : beyond the horizon lies the secret to a new beginning",Science Fiction & Fantasy Research Collection,"Held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Universal Pictures,fedoraAdmin,1995,false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/102/pages/page_0/files/Waterworld.jpg,
Dystopias|Arctic regions,reformatted digital,2022-11-16T22:01:05.476000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/9/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/9/pages,"Out on the far northern border of a failed state, Makepeace--sheriff and perhaps the last citizen--patrols the city ruins, salvaging books but keeping the guns in good repair.",2022-11-16T22:01:05.476000+00:00,6273266,"Theroux, Marcel, 1968-",book jackets|Fantasy fiction|Dystopian fiction,fedoraAdmin,Book cover,eng,StillImage|Text,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,Far north,Science Fiction & Fantasy Research Collection,"Book jacket image of the First Canadian edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",HarperCollins,fedoraAdmin,[2009],false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/9/pages/page_0/files/Scifi2021TherouxFar.jpg,
End of the world|Ojibwa Indians|Adoptees|Pregnant women|Minnesota|Birthmothers|Authoritarianism,reformatted digital,2022-11-16T22:01:05.470000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/89/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/89/orderProxies,"The world as we know it is ending. Evolution has reversed itself, affecting every living creature on earth. Science cannot stop the world from running backwards, as woman after woman gives birth to infants that appear to be primitive species of humans. Twenty-six-year-old Cedar Hawk Songmaker, adopted daughter of a pair of big-hearted, open-minded Minneapolis liberals, is as disturbed and uncertain as the rest of America around her. But for Cedar, this change is profound and deeply personal. She is four months pregnant. Though she wants to tell the adoptive parents who raised her from infancy, Cedar first feels compelled to find her birth mother, Mary Potts, an Ojibwe living on the reservation, to understand both her and her baby's origins. As Cedar goes back to her own biological beginnings, society around her begins to disintegrate, fueled by a swelling panic about the end of humanity.  A stranger answers the phone when she calls her adoptive parents, who have vanished without a trace. It will take all Cedar has to avoid the prying eyes of potential informants and keep her baby safe.",2022-11-16T22:01:05.470000+00:00,5581268,"Erdrich, Louise",book jackets|Apocalyptic fiction,fedoraAdmin,Book cover,eng,StillImage|Text,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,Future home of the living god : a novel,Science Fiction & Fantasy Research Collection,"Book jacket image of the signed, first specially bound edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Harper,fedoraAdmin,[2017],false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/89/pages/page_0/files/Scifi2021ErdrichFuture.jpg,
Climatic changes|Dystopias|Environmentalists|Survival|Antarctica|Environmental disasters|Kidnapping|Criminals,reformatted digital,2022-11-16T21:57:40.081000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/34/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/34/pages,"The great geoengineering projects have failed. The world is still warming, sea levels are still rising, and the Antarctic Peninsula is home to Earth's newest nation, with life quickened by ecopoets spreading across valleys and fjords exposed by the retreat of the ice. Austral Morales Ferrado, a child of the last generation of ecopoets, is a husky: an edited person adapted to the unforgiving climate of the far south, feared and despised by most of its population. She's been a convict, a corrections officer in a labor camp, and consort to a criminal, and now, out of desperation, she has committed the kidnapping of the century. But before she can collect the ransom and make a new life elsewhere, she must find a place of safety amongst the peninsula's forests and icy plateaus, and evade a criminal gang that has its own plans for the teenage girl she's taken hostage.",2022-11-16T21:57:40.081000+00:00,5969628,"McAuley, Paul J.",Science fiction|Dystopian fiction|Ecofiction|book jackets,fedoraAdmin,Book cover,eng,StillImage|Text,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,Austral,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy  held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Gollancz,fedoraAdmin,2018,false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/34/pages/page_0/files/Scifi2021McAuleyAustral.jpg,
Regression (Civilization),reformatted digital,2022-11-16T21:59:55.648000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/68/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/68/pages,"Two generations after the Destruction, rumors persisted about a secret desert hideaway where scientists worked with dangerous machines and where men plotted to revive the cities. Almost a continent away, Len Coulter heard whisperings that fired his imagination. Then one day he found a strange wooden box.",2022-11-16T21:59:55.648000+00:00,127676,"Brackett, Leigh",book jackets|Science fiction|Apocalyptic fiction,fedoraAdmin,Book cover,eng,StillImage|Text,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,The long tomorrow,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Ace Books,fedoraAdmin,[1955],false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/68/pages/page_0/files/Scifi2021BrackettLong.jpg,
"Evacuation of civilians|Government, Resistance to|Droughts|Climatic changes|Australia",reformatted digital,2022-11-16T21:57:12.246000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/29/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/29/orderProxies,"In a thirsty, drought-stricken Australia, the country is well and truly sunburnt. As the Eastern states are evacuated to more appealing climates, a stubborn few resist the forced removal. They hide out in small country towns – somewhere no one would ever bother looking.  When strange lights appear across the Western sky, it seems that those embittered by the drought are seeking revenge. And Bill and Tobe are in their path. In the heat of the moment secrets will be revealed, and survival can’t be guaranteed.",2022-11-16T21:57:12.246000+00:00,5968900,"Walter, Lachlan",Dystopian fiction|Ecofiction|book jackets,fedoraAdmin,Book cover,eng,Text|StillImage,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,The rain never came,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Odyssey Books,fedoraAdmin,2017,false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/29/pages/page_0/files/Scifi2021WalterThe.jpg,
Bounty hunters|Monsters|Magic,reformatted digital,2022-11-16T21:59:22.635000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/62/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/62/pages,"It's been four weeks since the bloody showdown at Black Mesa, and Maggie Hoskie, Diné monster hunter, is trying to make the best of things. Only her latest bounty hunt has gone sideways, she's lost her only friend, Kai Arviso, and she's somehow found herself responsible for a girl with a strange clan power. Then the Goodacre twins show up at Maggie's door with the news that Kai and the youngest Goodacre, Caleb, have fallen in with a mysterious cult, led by a figure out of Navajo legend called the White Locust. The Goodacres are convinced that Kai's a true believer, but Maggie suspects there's more to Kai's new faith than meets the eye. She vows to track down the White Locust, then rescue Kai and make things right between them. Her search leads her beyond the Walls of Dinétah and straight into the horrors of the Big Water world outside. With the aid of a motley collection of allies, Maggie must battle body harvesters, newborn casino gods and, ultimately, the White Locust himself. But the cult leader is nothing like she suspected, and Kai might not need rescuing after all. When the full scope of the White Locust's plans are revealed, Maggie's burgeoning trust in her friends, and herself, will be pushed to the breaking point, and not everyone will survive.",2022-11-16T21:59:22.635000+00:00,5872277,"Roanhorse, Rebecca",book jackets|Fantasy fiction,fedoraAdmin,Book cover,eng,Text|StillImage,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,Storm of locusts,Science Fiction & Fantasy Research Collection,"Book jacket image of the First Saga Press hardcover edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Saga Press,fedoraAdmin,[2019],false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/62/pages/page_0/files/Scifi2021RoanhorseStorm.jpg,
United States|Science fiction films|Soylent Green,reformatted digital,2022-11-16T21:55:56.466000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/103/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/103/pages,Movie poster of the 1973 movie Soylent Green,2022-11-16T21:55:56.466000+00:00,,,Posters|film posters,fedoraAdmin,1 poster with colored illustrations and text; 24 x 36 in,eng,StillImage,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,Soylent Green,Science Fiction & Fantasy Research Collection,"Held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Metro-Goldwyn-Mayer,fedoraAdmin,1973,false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/103/pages/page_0/files/SoylentGreen.jpg,
Climatic changes|Computers|Dystopias|Pollution,reformatted digital,2022-11-16T21:57:39.980000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/35/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/35/pages,"When a smart-mouthed, mixed-race teen wonders why the work that needs to be done pays nothing compared to the busywork that the news glorifies, the search for answers takes him on the wildest journey of anyone's lifetime. With the girl of his dreams, he invents living computers. Just as the human race allows corporations to pollute Earth into total desolation, the two teens blast off to thwart polluters of fertile planets.",2022-11-16T21:57:39.980000+00:00,5969703,"Morin, J. L.",Ecofiction|book jackets|Science fiction|Dystopian fiction,fedoraAdmin,Book cover,eng,StillImage|Text,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,Nature's confession,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy  held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Harvard Square Editions,fedoraAdmin,2015,false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/35/pages/page_0/files/Scifi2021MorinNatures.jpg,
"Godzilla films|Godzilla, king of the monsters (Motion picture : 2019)|Monster films",reformatted digital,2022-11-16T22:01:31.983000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/98/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/98/orderProxies,Movie poster of the 2019 movie Godzilla: King of the Monsters,2022-11-16T22:01:31.983000+00:00,,,Posters|film posters,fedoraAdmin,1 poster with colored illustrations and text; 92 x 61 cm,eng,StillImage,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,"Godzilla, king of the monsters, in theaters May 31 : long live the king",Science Fiction & Fantasy Research Collection,"Held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Warner Bros. Pictures,fedoraAdmin,2019,false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/98/pages/page_0/files/godzilla.jpg,
United States|World politics|Global warming,reformatted digital,2022-11-16T21:58:14.136000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/43/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/43/orderProxies,"In 2032, newly elected president Joe Benton realizes that the effects of global warming have been greatly underestimated and must scramble to negotiate with other countries to come up with a plan to stop the crisis.",2022-11-16T21:58:14.136000+00:00,5969702,"Glass, Matthew, 1954-",Ecofiction|book jackets|Political fiction,fedoraAdmin,Book cover,eng,StillImage|Text,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,Ultimatum,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Grove Press,fedoraAdmin,[2009],false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/43/pages/page_0/files/Scifi2021GlassUltimatum.jpg,
Disasters--Forecasts|End of the world,reformatted digital,2022-11-16T21:57:45.876000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/38/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/38/pages,"While working for a mysterious financial consulting firm that offers insurance to corporations against impending catastrophic events, a gifted young mathematician becomes increasingly obsessed with doomsday scenarios until one of his actual worst-case scenarios unfolds in Manhattan.",2022-11-16T21:57:45.876000+00:00,4448273,"Rich, Nathaniel, 1980-",Science fiction|Fantasy fiction|Apocalyptic fiction|book jackets,fedoraAdmin,Book cover,eng,Text|StillImage,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,Odds against tomorrow,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Farrar Straus and Giroux,fedoraAdmin,2013,false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/38/pages/page_0/files/Scifi2021RichOdds.jpg,
